,Investigator,Number of Studies,Top Condition,Top Condition Count
11585,alberto j espay,1,parkinson's disease,1.0
11586,margot roozekrans,1,rocuronium,1.0
11587,ioana mindruta,1,refractory epilepsy,1.0
11588,massimo massaia,1,hematological malignancies,1.0
11589,bobbi byrne,1,preterm birth,1.0
11590,isabelle metreau,1,prediabetic state,1.0
11591,dwarakanathan ranganathan,1,immunoglobulin a nephropathy,1.0
11592,maite martínez,1,breast cancer metastatic,1.0
11593,thomas becker,1,acute-on-chronic liver failure,1.0
11594,shintaro yagi,1,liver diseases,1.0
11595,leslie corbett,1,sickle cell disease,1.0
11596,sabrina ouamdi,1,sickle cell disease,1.0
11597,jessica bate,1,rhabdomyosarcoma,1.0
11598,paola alberti,1,quality of life,1.0
11599,alexander boucher,1,thrombotic thrombocytopenic purpura (ttp),1.0
11600,marie belloy,1,sickle cell disease,1.0
11601,florian babor,1,sickle cell disease,1.0
11602,laura benaglia,1,endometriosis,1.0
11603,piot c,1,"myocardial infarction, acute",1.0
11604,océane camou,1,"sclerosis, systemic",1.0
11605,theodoros dimitroulas,1,"sclerosis, systemic",1.0
11606,sharad khurana,1,myelodysplastic syndromes,1.0
11607,aditi shastri,1,myelodysplastic syndromes,1.0
11608,francesco bolzetta,1,bacteremia,1.0
11609,nicole lindenblatt,1,"blood vessels, lymphatic ducts and nerves",1.0
11610,christophe schoonjans,1,nash - nonalcoholic steatohepatitis,1.0
11611,umberto bracale,1,colon cancer,1.0
11612,syma iqbal,1,gastro-oesophageal cancer,1.0
11613,constantin roder,1,fgfr3 gene translocation,1.0
11614,lee cranmer,1,conventional chondrosarcoma,1.0
11615,masa lasica,1,chronic lymphocytic leukemia,1.0
11616,erkut borazanci,1,genetic predisposition,1.0
11617,alejandro berlin,1,prostate adenocarcinoma,1.0
11618,mark d. hurwitz,1,prostate adenocarcinoma,1.0
11619,laura joines,1,pbc,1.0
11620,shafeeq ladha,1,spinal muscular atrophy,1.0
11621,mathieu d'hondt,1,colorectal neoplasms malignant,1.0
11622,toshihiro kudo,1,gastric neoplasms,1.0
11623,takeshi kawakami,1,gastric neoplasms,1.0
11624,guilder laura,1,phenylketonuria,1.0
11625,amin karim,1,atherosclerotic cardiovascular disease,1.0
11626,baba,1,atherosclerotic cardiovascular disease,1.0
11627,kinany,1,atherosclerotic cardiovascular disease,1.0
11628,western health,1,atherosclerotic cardiovascular disease,1.0
11629,natasha r holt,1,colorectal neoplasms,1.0
11630,selina zauner,1,pancreatic ductal adenocarcinoma,1.0
11631,bence györgy,1,retinal dystrophies,1.0
11632,maria kataki,1,alzheimer's disease,1.0
11633,abraham antonio vazquez garcia,1,alzheimer's disease,1.0
11634,anita datta,1,tuberous sclerosis complex,1.0
11635,patrick dubois,1,celiac disease,1.0
11636,ithaar derweesh,1,kidney cancer,1.0
11637,taiba zornitzki,1,type 2 diabetes,1.0
11638,tatiana mazzoli,1,ischemic stroke,1.0
11639,umberto scoditti,1,tia,1.0
11640,jami fukui,1,breast neoplasms,1.0
11641,dominique genet,1,breast neoplasms,1.0
11642,wing yan joanne chiu,1,breast neoplasms,1.0
11643,terence aik huang tan,1,breast neoplasms,1.0
11644,ping qiao,1,overweight,1.0
11645,mio ebato,1,"cardiomyopathy, hypertrophic",1.0
11646,giorgia montrucchio,1,regional anesthesia morbidity,1.0
11647,marina urina,1,structural valve degeneration,1.0
11648,amon asgharpour,1,alpha1-antitrypsin deficiency,1.0
11649,maria vittoria dieci,1,breast cancer,1.0
11650,unità di ricerca clinica,1,prostate cancer,1.0
11651,elvira di pasquo,1,intrauterine infection,1.0
11652,josé osvaldo fretes,1,obesity,1.0
11653,ignacio delgado,1,breast cancer,1.0
11654,martin driessen,1,early treatment-resistance,1.0
11655,magali ravoire,1,neoplasm metastasis,1.0
11656,antonio trabacca,1,social isolation,1.0
11657,alessandro celi,1,chronic obstructive pulmonary disease (copd),1.0
11658,maria giulia rizzo,1,biomarker,1.0
11659,mallory chavannes,1,ulcerative colitis,1.0
11660,o. lejars,1,neuroblastoma,1.0
11661,lorenzo bonomo,1,coronary heart disease,1.0
11662,gianmaria fiorentini,1,non small cell lung cancer (nsclc),1.0
11663,flavia longo,1,non small cell lung cancer (nsclc),1.0
11664,jeffrey healey,1,myocardial infarction,1.0
11665,alfred perforinis,1,adrenocortical carcinoma,1.0
11666,carmelita marcantoni,1,renal artery stenosis,1.0
11667,martin gramatzlle,1,myelodysplastic syndromes,1.0
11668,jose-luis molinuevo,1,mild cognitive impairment,1.0
11669,matteo bassetti,1,bronchopneumonia,1.0
11670,stéphanie viennot,1,crohn's disease,1.0
11671,george el-nimr,1,huntington's disease,1.0
11672,karolina ziora-jakutowicz,1,huntington's disease,1.0
11673,stèphane chauvie,1,primary mediastinal b-cell lymphoma,1.0
11674,marc bazot,1,ovarian tumor,1.0
11675,magali le blanc,1,early breast cancer,1.0
11676,silke kietz,1,acute lymphoblastic leukaemia,1.0
11677,sebnem yilmaz,1,acute lymphoblastic leukaemia,1.0
11678,rolando boggi,1,end stage renal disease,1.0
11679,henning gronbaeck,1,pneumonia,1.0
11680,dario zimbalatti,1,liver cirrhosis,1.0
11681,raffaella ruocco,1,human epidermal growth factor 2 negative carcinoma of breast,1.0
11682,radhika rachamalla,1,stage iia lung cancer ajcc v8,1.0
11683,sergio d'addato,1,pre-hypertension,1.0
11684,michael sugrue,1,open abdomen procedure,1.0
11685,jesus rodriguez-bano,1,urinary tract infections,1.0
11686,laurent greillier marseille,1,mesothelioma,1.0
11687,agustina rivas guerrero,1,venous thromboembolism,1.0
11688,laurence leenhardt,1,all tumor types,1.0
11689,shayla bergmann,1,von willebrand disease,1.0
11690,rupali bhave,1,relapsed/refractory acute myeloid leukemia with flt3 activating mutations,1.0
11691,susanna malkakorpi,1,crohn disease,1.0
11692,jean koff,1,lymphoproliferative disorders,1.0
11693,edouard forcade,1,solid organ transplant complications,1.0
11694,mario marini,1,endoscopic mucosal resection,1.0
11695,petra sanz,1,myocardial infarction,1.0
11696,steeve provencher,1,pulmonary arterial hypertension,1.0
11697,miron bogdan,1,cardiovascular diseases,1.0
11698,sumeyye gullulu,1,lung diseases,1.0
11699,marianne sperb,1,cardiovascular diseases,1.0
11700,patrapim sunpaweravong,1,metastatic breast cancer,1.0
11701,adele noviello,1,surgery--complications,1.0
11702,claudio arcudi,1,anastomotic leak,1.0
11703,andrew w. ju,1,pathologic stage ii hpv-mediated (p16-positive) oropharyngeal carcinoma ajcc v8,1.0
11704,antonio serra,1,cardiogenic shock,1.0
11705,fernando agreda castañeda,1,erectile dysfunction,1.0
11706,young kwang chae,1,previously treated non-small cell lung cancer,1.0
11707,michael joseph boyer,1,papillary thyroid cancer,1.0
11708,carlos serrano,1,atrial fibrillation,1.0
11709,prabal datta,1,intracerebral hemorrhage,1.0
11710,giorgio grani,1,thyroid neoplasms,1.0
11711,lieve tytgat,1,high-risk neuroblastoma,1.0
11712,gianni cappelli,1,peritoneal dialysis complication,1.0
11713,katherine brown,1,covid,1.0
11714,stefania giaquinta,1,myeloproliferative neoplasm,1.0
11715,clara de ambrogi,1,myeloproliferative neoplasm,1.0
11716,giulia desa,1,myeloproliferative neoplasm,1.0
11717,luigi scaffidi,1,covid,1.0
11718,shipra gandhi,1,squamous cell carcinoma of the oropharynx,1.0
11719,tina cu,1,relapsed/refractory large b cell lymphoma,1.0
11720,andrea gangfuss,1,limb-girdle muscular dystrophy,1.0
11721,simona gatti,1,inflammatory bowel diseases,1.0
11722,antonia rodriguez izquierdo,1,peripheral t-cell lymphoma,1.0
11723,jalal prasun,1,liver diseases,1.0
11724,pavel taimr,1,liver transplant,1.0
11725,vivek saraswat,1,acute-on-chronic liver failure,1.0
11726,iris kvenstel,1,rhabdomyosarcoma,1.0
11727,camille tafani,1,quality of life,1.0
11728,andrew h lipsky,1,"lymphoma, mantle-cell",1.0
11729,cristina dumitrescu,1,growth hormone deficiency,1.0
11730,jean philippe lanoix,1,bacteremia,1.0
11731,guohong ge,1,nash - nonalcoholic steatohepatitis,1.0
11732,francesco meroi,1,quality of life,1.0
11733,thomas budd,1,desmoid tumor,1.0
11734,matthew chan,1,blood pressure,1.0
11735,martin wermke,1,cervical cancer,1.0
11736,christian von frenckell,1,"lupus erythematosus, systemic",1.0
11737,florian stehling,1,aspergillosis,1.0
11738,elisabetta carini,1,hiv-1-infection,1.0
11739,edmund lau,1,pulmonary arterial hypertension,1.0
11740,tomas rene pulido zamudio,1,pulmonary arterial hypertension,1.0
11741,isabel blanco,1,pulmonary arterial hypertension,1.0
11742,hansen,1,cold agglutinin disease,1.0
11743,laura carrozzi,1,asthma severe persistent uncontrolled,1.0
11744,wang xian,1,her2 positive breast cancer,1.0
11745,mariam gogishvili,1,gastroesophageal adenocarcinoma,1.0
11746,hidekazu hirano,1,esophageal adenocarcinoma,1.0
11747,zoran petrovic,1,gastroesophageal adenocarcinoma,1.0
11748,masen abdel jaber,1,still disease,1.0
11749,costello,1,atherosclerotic cardiovascular disease,1.0
11750,mincheva-kabakchieva,1,atherosclerotic cardiovascular disease,1.0
11751,gaudet,1,atherosclerotic cardiovascular disease,1.0
11752,zafrir,1,atherosclerotic cardiovascular disease,1.0
11753,marc ditmarsch,1,atherosclerotic cardiovascular disease,1.0
11754,maria d'avino,1,hospitalization,1.0
11755,david rangel,1,pancreatic cancer stage iv,1.0
11756,géraldine mineur,1,pancreatic cancer stage iv,1.0
11757,osnat elishayev,1,interstitial lung disease,1.0
11758,soham mukerjee,1,endocrine system diseases,1.0
11759,claire b. bretonniere,1,alzheimer's disease,1.0
11760,lorenzo brambilla,1,parkinson's disease and parkinsonism,1.0
11761,nieves martinez chanza,1,locally advanced or metastatic urothelial carcinoma,1.0
11762,david moreno ramirez,1,keratoacanthoma of skin,1.0
11763,franco tagliaro,1,arterial hypertension,1.0
11764,ana grujovic,1,parkinson's disease,1.0
11765,vincenzo ficarra,1,kidney cancer,1.0
11766,ilit turgeman,1,cancer,1.0
11767,brigida barberio,1,crohn disease,1.0
11768,henriette v holm,1,"anterior urethral stricture, male",1.0
11769,alberto fantin,1,node,1.0
11770,sabrine nt hemmes,1,surgery,1.0
11771,jianping yao,1,obesity,1.0
11772,auriol françoise,1,discoid meniscus of knee,1.0
11773,zarnie lwin,1,glioma,1.0
11774,roopa rao,1,"cardiomyopathy, hypertrophic",1.0
11775,albree tower-rader,1,"cardiomyopathy, hypertrophic",1.0
11776,jeffrey b. geske,1,"cardiomyopathy, hypertrophic",1.0
11777,mohammed makkiya,1,"cardiomyopathy, hypertrophic",1.0
11778,gabriele missale,1,primary sclerosing cholangitis,1.0
11779,christos chouaid,1,non small cell lung cancer,1.0
11780,yazan abou-ismail,1,thrombotic thrombocytopenic purpura (ttp),1.0
11781,catarina abreu,1,gene rearrangement,1.0
11782,bjørn wahlin,1,splenic marginal zone lymphoma,1.0
11783,carlo alberto tondini,1,breast diseases,1.0
11784,beatrice marinoni,1,long covid,1.0
11785,kenny tang,1,myelodysplastic syndromes,1.0
11786,alberto vogrig,1,autoimmune encephalitis,1.0
11787,massimo padalino,1,"heart defects, congenital",1.0
11788,jie hu,1,neoplasm metastasis,1.0
11789,lienhart anne,1,von willebrand disease (vwd),1.0
11790,rose ludger,1,new-onset type1 diabetes,1.0
11791,helen elizabeth innes,1,breast neoplasms,1.0
11792,ketan d. doshi,1,neoplasm metastasis,1.0
11793,marco cominetti,1,neuroblastoma,1.0
11794,juergen c. becker,1,melanoma (skin),1.0
11795,isaac yaniv,1,neuroblastoma,1.0
11796,afshin dowlati,1,biliary tract cancer,1.0
11797,gary cutter,1,myasthenia gravis,1.0
11798,sebastiano d'anna,1,epileptic seizures,1.0
11799,olaf dammann,1,"brain damage, chronic",1.0
11800,georges fillet,1,peripheral t-cell lymphoma,1.0
11801,a. ferlini,1,duchenne muscular dystrophy,1.0
11802,robin l. jones,1,askin's tumor of the chest wall,1.0
11803,daniele regge,1,individuals with suspected colorectal disease,1.0
11804,carmime d. vizza,1,pulmonary hypertension,1.0
11805,miguel fernandez-bermejo,1,helicobacter pylori infection,1.0
11806,anna morenkova,1,huntington's disease,1.0
11807,mónica rodríguez,1,huntington's disease,1.0
11808,in a kim,1,stage iv breast cancer ajcc v6 and v7,1.0
11809,matteo parma,1,graft vs host disease,1.0
11810,charlotte jubert,1,acute lymphoblastic leukaemia,1.0
11811,tiziano toselli,1,device replacement,1.0
11812,theodoros tsakiridis,1,non-small cell lung carcinoma,1.0
11813,nando riccardi,1,metastatic breast cancer,1.0
11814,monica indelli,1,metastatic breast cancer,1.0
11815,ibrahim a. shalaby,1,stage iib breast cancer,1.0
11816,karin nyström,1,mantle cell lymphoma,1.0
11817,rossella elena nappi,1,overweight,1.0
11818,francesco g. de rosa,1,central nervous system bacterial infections,1.0
11819,jennifer daigle,1,hsv infection,1.0
11820,kevin wu,1,"lymphoma, non-hodgkin",1.0
11821,esther p santaolalla,1,relapsed/refractory acute myeloid leukemia with flt3 activating mutations,1.0
11822,silvia monsalvo,1,relapsed/refractory acute myeloid leukemia with flt3 activating mutations,1.0
11823,oie mathiesen,1,delirium,1.0
11824,michael stumvoll,1,lipodystrophy acquired,1.0
11825,antonio nicosia,1,heart failure,1.0
11826,jose angel perez,1,myocardial infarction,1.0
11827,adrian j lescano,1,lung diseases,1.0
11828,adriano jose de carvalho,1,vascular diseases,1.0
11829,jaroslav štěrba,1,"acute lymphoblastic leukemia, pediatric",1.0
11830,maccioni elisabetta,1,hospitalization,1.0
11831,gert richardt,1,cardiogenic shock,1.0
11832,marco dilecce,1,anesthesia,1.0
11833,jose m. pacheco,1,previously treated non-small cell lung cancer,1.0
11834,myles smith,1,"cutaneous melanoma, stage ii",1.0
11835,ragnar huhn,1,postoperative respiratory complication,1.0
11836,julie brahmer,1,cancer,1.0
11837,gerald koenig,1,st elevation (stemi) myocardial infarction of anterior wall,1.0
11838,chokri mhiri,1,"multiple sclerosis, relapsing-remitting",1.0
11839,claudia borreani,1,neoplasms,1.0
11840,john aeron-thomas,1,intracerebral hemorrhage,1.0
11841,hiroshi kosugi,1,myelodysplastic syndromes (mds),1.0
11842,clara montagut,1,colorectal cancer,1.0
11843,sri obulareddy,1,follicular lymphoma,1.0
11844,helen evans,1,biliary atresia,1.0
11845,ishaq abu-arafeh,1,migraine,1.0
11846,kenneth attie,1,sickle cell disease,1.0
11847,luis alvarez,1,heart failure,1.0
11848,antonio dell'anna,1,diastolic heart failure,1.0
11849,silvia mottaran,1,covid19_rehabilitation,1.0
11850,donna white,1,low grade ovarian serous adenocarcinoma,1.0
11851,s nasim ali,1,rhabdomyosarcoma,1.0
11852,gisèle elana,1,sickle cell disease,1.0
11853,patricia benhaïm,1,sickle cell disease,1.0
11854,maryke nielsen,1,group b streptococcus neonatal sepsis,1.0
11855,angelo toscano,1,adolescent idiopathic scoliosis,1.0
11856,cayla guillaume,1,coronary artery disease,1.0
11857,federico ariel,1,diffuse cutaneous systemic sclerosis,1.0
11858,roberto bianco,1,pancreas ductal adenocarcinoma,1.0
11859,wanxing chai ho,1,myelodysplastic syndromes,1.0
11860,aymeric menet,1,cardiac disease,1.0
11861,dimple desai,1,nash - nonalcoholic steatohepatitis,1.0
11862,fanggang lv,1,nash - nonalcoholic steatohepatitis,1.0
11863,judith d. sears,1,stage i breast cancer,1.0
11864,hirofumi yasui,1,gastro-oesophageal cancer,1.0
11865,victoria wang,1,conventional chondrosarcoma,1.0
11866,benjamin rhee,1,persistent atrial fibrillation,1.0
11867,fukumoto,1,multiple myeloma,1.0
11868,jeevin shahi,1,prostate adenocarcinoma,1.0
11869,jorge a. garcia-young,1,prostate adenocarcinoma,1.0
11870,santiago cepeda,1,brain cancer,1.0
11871,dolores gomez bradley,1,gastroesophageal adenocarcinoma,1.0
11872,marco bernaschina olivares,1,esophageal adenocarcinoma,1.0
11873,erin schwab,1,stage iii colon cancer,1.0
11874,isaacson,1,atherosclerotic cardiovascular disease,1.0
11875,basavarajaiah,1,atherosclerotic cardiovascular disease,1.0
11876,cristina santos vivas,1,colorectal neoplasms,1.0
11877,william renwick,1,small lymphocytic lymphoma,1.0
11878,rahul nanchal,1,infectious pneumonia,1.0
11879,ventura simonovich,1,severe covid-19,1.0
11880,elena bargagli,1,idiopathic pulmonary fibrosis,1.0
11881,voorhees,1,multiple myeloma,1.0
11882,georgios gakis,1,locally advanced or metastatic urothelial carcinoma,1.0
11883,hamid emamekhoo,1,stage iv renal cell cancer ajcc v8,1.0
11884,laura lopez marin,1,mucopolysaccharidosis ii,1.0
11885,song qu,1,head and neck cancer,1.0
11886,so yeon oh,1,head and neck cancer,1.0
11887,alessandra curioni-fontecedro,1,stage iii nsclc,1.0
11888,luigi ruiz,1,ischemic stroke,1.0
11889,scott a. fretzin,1,subacute cutaneous lupus erythematosus,1.0
11890,grisha mateev,1,chronic cutaneous lupus erythematosus,1.0
11891,ibrahim ali almaghlouth,1,subacute cutaneous lupus erythematosus,1.0
11892,maria pia molina,1,obesity,1.0
11893,ondrej jerabek,1,overweight,1.0
11894,nora kesmarki,1,overweight,1.0
11895,anna modzelewska,1,obesity,1.0
11896,monika lukaszewicz,1,overweight,1.0
11897,julien paccou,1,"osteoporosis, postmenopausal",1.0
11898,michael joner,1,structural valve degeneration,1.0
11899,paola malaguti,1,"carcinoma, ovarian epithelial",1.0
11900,saveria crocè,1,primary sclerosing cholangitis,1.0
11901,giuseppe cipolla,1,hemoptysis,1.0
11902,gaetano bertino,1,chronic hepatitis d,1.0
11903,jose enrique martinez rodriguez,1,relapsing forms of multiple sclerosis,1.0
11904,milan brazdil,1,refractory status epilepticus,1.0
11905,martina viola,1,myocardial infarction,1.0
11906,marta somorai,1,grin-related disorders,1.0
11907,alexandre mendes,1,parkinson's disease,1.0
11908,daniele masarone,1,chronic heart failure,1.0
11909,maura nicolosi,1,"non-hodgkin lymphoma, b-cell",1.0
11910,raquel gomez,1,toxicity,1.0
11911,cristina mazzega fabbro,1,metastatic breast cancer,1.0
11912,thomas winder,1,"carcinoma, non-small-cell lung",1.0
11913,marco santoro,1,polycythemia vera,1.0
11914,ichiro yabe,1,multiple system atrophy,1.0
11915,alexander gaiger,1,lymphoma,1.0
11916,john lemaitre,1,myocardial infarction,1.0
11917,mariano badra-verdu,1,myocardial infarction,1.0
11918,de blay frédéric,1,primary disease,1.0
11919,sonia ronchey,1,carotid stenosis,1.0
11920,giulia bedino,1,end stage renal disease,1.0
11921,e gluckman,1,myelodysplastic syndrome,1.0
11922,franco laghi pasini,1,influenza,1.0
11923,beth wood,1,charcot marie tooth disease,1.0
11924,lelia valdrè,1,severe hemophilia a with inhibitor,1.0
11925,pierre krystkowiak,1,huntington's disease,1.0
11926,laura mundler,1,huntington's disease,1.0
11927,arjan lankester,1,acute lymphoblastic leukaemia,1.0
11928,goffredo del rosso,1,end stage renal disease,1.0
11929,schnell oliver,1,glioblastoma,1.0
11930,susan a. mcmanus,1,estrogen receptor negative,1.0
11931,ana maría díaz brasero,1,venous thromboembolism,1.0
11932,florence klose,1,mantle cell lymphoma,1.0
11933,jean-yves cahn,1,relapsed/refractory acute myeloid leukemia with flt3 activating mutations,1.0
11934,luciano losi,1,coronary artery disease,1.0
11935,frédéric marchal,1,cervical cancer,1.0
11936,jose perez-simon,1,lymphoproliferative disorders,1.0
11937,claudia ferialdi,1,anesthesia,1.0
11938,syed samiul hoque,1,ulcerative colitis,1.0
11939,riccardo angeloni,1,colorectal surgery,1.0
11940,sergio raposeiras,1,myocardial infarction,1.0
11941,cadaret linda,1,pulmonary arterial hypertension,1.0
11942,francis couturaud,1,vascular diseases,1.0
11943,paola morara,1,respiratory tract disease,1.0
11944,sara proietti,1,familial primary pulmonary hypertension,1.0
11945,luca cabrini,1,septic shock,1.0
11946,julian borissoff,1,chronic thromboembolic pulmonary hypertension,1.0
11947,jaime espinós jiménez,1,metastatic breast cancer,1.0
11948,avaler@iconcologia.net,1,non hodgkin lymphoma,1.0
11949,barbara leeuwen,1,"cutaneous melanoma, stage ii",1.0
11950,doronina myroslava,1,non-small cell lung cancer,1.0
11951,patrick hu,1,st elevation (stemi) myocardial infarction of anterior wall,1.0
11952,hollody ohmachtne katalin,1,"multiple sclerosis, relapsing-remitting",1.0
11953,astin lee,1,stroke,1.0
11954,barbara galligan,1,soft tissue sarcoma,1.0
11955,stephanie gaillard,1,soft tissue sarcoma,1.0
11956,henning stetefeld,1,intracerebral hemorrhage,1.0
11957,francesco castagnini,1,hip prosthesis infection,1.0
11958,karyn a. goodman,1,anal canal cloacogenic carcinoma,1.0
11959,zallio,1,acute myeloid leukemia,1.0
11960,luca caneva,1,ventricular fibrillation sustained,1.0
11961,alessandro varrica,1,suture line buttressing,1.0
11962,francesco biroli,1,parkinson's disease,1.0
11963,yon ho choe,1,biliary atresia,1.0
11964,antioco cappai,1,refractory hypoxemia,1.0
11965,chad andersen,1,lung injury,1.0
11966,alessandra mayer,1,lung injury,1.0
11967,joyce o'shea,1,lung injury,1.0
11968,scott solomon,1,covid19,1.0
11969,raquel antonia de ona navarrete,1,peripheral t-cell lymphoma,1.0
11970,haibing wu,1,diabetic kidney disease,1.0
11971,ingo bauerfeind,1,triple negative breast cancer,1.0
11972,marcus schmidt,1,her2-negative breast cancer,1.0
11973,luis bagulho,1,liver diseases,1.0
11974,gregg newman,1,ovarian cancer,1.0
11975,riccardo schiaffini,1,new-onset type1 diabetes,1.0
11976,jeff porter sharman,1,"lymphoma, mantle-cell",1.0
11977,giovanni dapri,1,colorectal neoplasms malignant,1.0
11978,carlo d'agostino,1,evaluate the safety and useability of the odocor ii intra-cardiac lead,1.0
11979,alejandro balsa criado,1,diffuse cutaneous systemic sclerosis,1.0
11980,hikaru ikeda,1,"sclerosis, systemic",1.0
11981,brett houston,1,myelodysplastic syndromes,1.0
11982,john reagan,1,myelofibrosis,1.0
11983,guido bussone,1,covid19,1.0
11984,edgardo castillo,1,nash - nonalcoholic steatohepatitis,1.0
11985,grisell ortiz-lasanta,1,nash - nonalcoholic steatohepatitis,1.0
11986,enrica pastorino,1,oncology,1.0
11987,john bridgewater,1,ros1 gene translocation,1.0
11988,irina verdiyan,1,conventional chondrosarcoma,1.0
11989,ray jackson,1,conventional chondrosarcoma,1.0
11990,lori ann leslie,1,chronic lymphocytic leukemia,1.0
11991,stephanie van bebber,1,pancreatic ductal adenocarcinoma,1.0
11992,felipe chertcoff,1,pulmonary arterial hypertension,1.0
11993,claudia chiriboga,1,spinal muscular atrophy,1.0
11994,roberta della bona,1,myocarditis acute,1.0
11995,maria marcela monteiro,1,gastric neoplasms,1.0
11996,calin cainap,1,gastric neoplasms,1.0
11997,nenad mijalkovic,1,esophageal adenocarcinoma,1.0
11998,weihong lin,1,lennox gastaut syndrome (lgs),1.0
11999,jurgen van dongen,1,crohn disease,1.0
12000,francesco ciccia,1,vexas syndrome,1.0
12001,rankin,1,atherosclerotic cardiovascular disease,1.0
12002,prashad,1,atherosclerotic cardiovascular disease,1.0
12003,vyselaar,1,atherosclerotic cardiovascular disease,1.0
12004,thomas jänisch,1,infection,1.0
12005,xianzhe yin,1,colorectal neoplasms,1.0
12006,brian chow,1,infectious pneumonia,1.0
12007,elisabeth bendstrup,1,idiopathic pulmonary fibrosis,1.0
12008,miyamoto,1,multiple myeloma,1.0
12009,encinas rodríguez,1,multiple myeloma,1.0
12010,evangelos liatsikos,1,kidney cancer,1.0
12011,mizuo ando,1,head and neck cancer,1.0
12012,lucia serio,1,respiratory failure,1.0
12013,sebastian kraus,1,metastatic nsclc,1.0
12014,giovanni linoli,1,tia,1.0
12015,stephen dyar,1,breast neoplasms,1.0
12016,xujuan wang,1,breast neoplasms,1.0
12017,koji kaneko,1,breast neoplasms,1.0
12018,ana cebollero de miguel,1,breast neoplasms,1.0
12019,antonio cozzio,1,subacute cutaneous lupus erythematosus,1.0
12020,andras r vertes,1,obesity,1.0
12021,elias delgado,1,overweight,1.0
12022,roberto barriales-villa,1,"cardiomyopathy, hypertrophic",1.0
12023,maciej kralisz,1,structural valve degeneration,1.0
12024,mª angeles sala gonzalez,1,alk-rearrangement,1.0
12025,bjørn østenstad,1,splenic marginal zone lymphoma,1.0
12026,michal dufek,1,relapsing forms of multiple sclerosis,1.0
12027,fábio serra silveira,1,cardiovascular diseases,1.0
12028,francesca primi,1,metastatic renal cell carcinoma,1.0
12029,giovanni ciani,1,adolescent idiopathic scoliosis,1.0
12030,alina camelia catana,1,secondary immunodeficiency (sid),1.0
12031,antonio lopez pousa,1,adolescent,1.0
12032,kristy long,1,ovarian cancer,1.0
12033,sarah ayers,1,gastroesophageal adenocarcinoma,1.0
12034,bradley denardo,1,adolescent,1.0
12035,c. mitchell,1,neuroblastoma,1.0
12036,viviana e. galimberti,1,breast cancer,1.0
12037,lone storgaard,1,pregnancy,1.0
12038,davide d'amico,1,liver cirrhosis,1.0
12039,carlo mereu,1,chronic obstructive pulmonary disease,1.0
12040,andré lacroix,1,adrenocortical carcinoma,1.0
12041,giancarlo scoppettuolo,1,catheterization,1.0
12042,christophe combescure,1,critical illness,1.0
12043,ettore biagi,1,graft vs host disease,1.0
12044,maximo vento,1,extreme prematurity - less than 28 weeks,1.0
12045,jan stary,1,acute lymphoblastic leukaemia,1.0
12046,gianfranco ciaramitaro,1,device replacement,1.0
12047,stefano corcione,1,breast cancer,1.0
12048,rüdiger gerlach,1,glioblastoma,1.0
12049,giorgio bono,1,parkinson's disease,1.0
12050,luciano lópez-jiménez,1,venous thromboembolism,1.0
12051,tomas breslin,1,venous thromboembolism,1.0
12052,juan gorostidi pérez,1,venous thromboembolism,1.0
12053,ana torrents,1,venous thromboembolism,1.0
12054,carmen maría rubio,1,venous thromboembolism,1.0
12055,christoph von roye,1,mantle cell lymphoma,1.0
12056,torben stamm mikkelsen,1,factor viii deficiency,1.0
12057,d. gallot,1,posterior urethral valves,1.0
12058,miia valkonen,1,antifungal agents,1.0
12059,yaxi chen,1,hepatocellular carcinoma (hcc),1.0
12060,thomas larzon,1,"aortic aneurysm, thoracoabdominal",1.0
12061,robert scott,1,pulmonary hypertension,1.0
12062,konnor edwards,1,cardiovascular diseases,1.0
12063,maría labalde martinez,1,colorectal cancer,1.0
12064,concepcion fernandez chacon,1,metastatic breast cancer,1.0
12065,giovanni piscopo,1,adpkd,1.0
12066,steven lin,1,clinical stage iii gastroesophageal junction adenocarcinoma ajcc v8,1.0
12067,maurizio v infante,1,"carcinoma, non-small-cell lung",1.0
12068,chiara ferracuti,1,endometriosis,1.0
12069,francescutti valerie,1,"cutaneous melanoma, stage ii",1.0
12070,susen sophie,1,von willebrand disease (vwd),1.0
12071,jack richecoeur,1,ards,1.0
12072,gao,1,non-small cell lung cancer,1.0
12073,mark rochester,1,clear cell renal cell carcinoma,1.0
12074,james davidson,1,methylmalonic acidemia,1.0
12075,nathalie johnson,1,refractory follicular lymphoma,1.0
12076,roberta marcialis,1,prevention of venous thromboembolism,1.0
12077,daniel de backer,1,sars-cov-2,1.0
12078,olivier brissaud,1,refractory hypoxemia,1.0
12079,jens peter klussmann,1,squamous cell carcinoma of the oropharynx,1.0
12080,lani krauz,1,sickle cell disease,1.0
12081,anette kjeldsen,1,chronic rhinosinusitis (diagnosis),1.0
12082,mariaelena guerzoni,1,sickle cell disease,1.0
12083,cuisset t,1,coronary artery disease,1.0
12084,lhermusier t,1,"myocardial infarction, acute",1.0
12085,catarina resende,1,diffuse cutaneous systemic sclerosis,1.0
12086,raphael koch,1,myelodysplastic syndromes,1.0
12087,ana garido,1,myelodysplastic syndromes,1.0
12088,joerg kempfert,1,mitral valve regurgitation,1.0
12089,arpan mohanty,1,nash - nonalcoholic steatohepatitis,1.0
12090,alexander hodge,1,nash - nonalcoholic steatohepatitis,1.0
