,Condition,Average Attention Score
2692,Progressive external ophthalmoplegia,
2693,Respiratory distress syndrome in newborn,
2694,Endocrine disorders,
2695,Hepatobiliary imaging procedures,
2696,Acute bronchiolitis,
2697,Cardiovascular disease (CVD) and small airway disease (SAD) in patients with chronic obstructive pulmonary disease (COPD),
2698,Childhood Langerhans Cell Histiocytosis,
2699,"Lung Diseases, Obstructive",
2700,Lymphoblastic Lymphoma,
2701,Spasticity Post-Traumatic Brain Injury,
2702,Kyphoscoliosis,
2703,Thalassemia Intermedia,
2704,Partial Onset Seizures,
2705,Neoplasia,
2706,Resource Consumption and Associated Costs After Device Replacement/Upgrade,
2707,Patients With Acute Hypercapnic Respiratory Failure,
2708,Mucopolysaccharidosis IV Type A,
2709,Presbyopia,
2710,HIV-infected Patients,
2711,Adenotonsillitis,
2712,Pleura Mesothelioma,
2713,Infection Viral,
2714,Langerhans Cell Histiocytosis,
2715,Group B Strep Infection,
2716,NMIBC,
2717,Caries,
2718,Osteomyelitis,
2719,Muscle rigidity,
2720,MALT lymphoma,
2721,Viral infectious disorders,
2722,Ovarian tumours,
2723,"Neoplasms, Squamous Cell",
2724,Chronic Hepatitis C Infection,
2725,Implantable Cardioverter Defibrillator,
2726,Neutropenic Enterocolitis,
2727,Predictable BTP at Swallowing in in Head/Neck Cancer Patients Undergoing Radiotherapy Already Receiving Opioid Therapy for Background Pain,
2728,Difficult,
2729,"Lymphoma, T-Cell",
2730,Endometriosis Pelvic,
2731,Central Nervous System Complication,
2732,Emergency Surgery,
2733,Breast Cancer Invasive,
2734,Aneurysm Abdominal,
2735,"Cardiac Arrest, Out-Of-Hospital",
2736,Biologic,
2737,Adhesive Capsulitis,
2738,Fibrosis liver,
2739,Complication of pregnancy,
2740,Renal failure requiring haemodialysis,
2741,Urethral Cancer,
2742,Acute Decompensated Heart Failure,
2743,MDD,
2744,Gynecologic Laparoscopic Surgery,
2745,Ligneous Conjunctivitis,
2746,Ovarian Tumor,
2747,Acute Myocardial Infarction (STEMI/ NSTEMI),
2748,"Carcinoma, Small Cell",
2749,Cow Milk Allergy,
2750,Aggressive Non-Hodgkin Lymphoma,
2751,Respiratory Acidosis,
2752,Deletion 17P Syndrome,
2753,Bowel Dysfunction,
2754,Hemifacial Paralysis,
2755,High-Normal Blood Pressure,
2756,"Valgus, Talipes",
2757,Brain stem glioma,
2758,Scleroderma,
2759,Attention-deficit/Hyperactivity Disorder,
2760,Lysosomal Acid Lipase Deficiency,
2761,Traumatic Arthritis,
2762,Adjustment Reaction,
2763,Adolescent - Emotional Problem,
2764,Arthralgia,
2765,Malondialdehyde,
2766,Ventilator-free Days,
2767,Defecation Disorder,
2768,Abscess,
2769,Irradiation,
2770,Gonarthrosis,
2771,Flu,
2772,Diabetes mellitus NOS,
2773,Psychiatric and behavioural symptoms NEC,
2774,Critically Ill Patients,
2775,Forearm Injuries,
2776,Myeloproliferative Disease,
2777,Grass Allergy,
2778,TPO-mimetics,
2779,Chronic Bacterial Prostatitis,
2780,Primary Total Hip Replacement,
2781,Lipodystrophy Congenital,
2782,Eosinophilic,
2783,Polypharmacy,
2784,Pupillary Reflex Impaired,
2785,Mixed Dyslipidemia,
2786,Peptide Receptor Radionuclide Therapy (PRRT),
2787,Atrioventricular Nodal Re Entrant Tachycardia,
2788,Early-stage Breast Cancer,
2789,Regional Anesthesia Morbidity,
2790,Unresectable Hepatocellular Carcinoma (HCC),
2791,"Varices, Esophageal",
2792,Hysterectomy,
2793,Liver metastases,
2794,Antimicrobial resistance and health-related quality of life,
2795,Permanent Atrial Fibrillation,
2796,Patients Undergoing Elective Colonoscopy,
2797,Clinical Oncology,
2798,Open Abdomen Procedure,
2799,Intervertebral Disc Replacement,
2800,Comatose,
2801,Antibiotic Resistance,
2802,ALK Fusion Protein Expression,
2803,Assisted Ventilation,
2804,Treatment Adherence,
2805,Beta-Propeller Protein-Associated Neurodegeneration (BPAN),
2806,Trauma Chest,
2807,Gene Rearrangement,
2808,Right Ventricular Failure,
2809,Cholecystectomy,
2810,Non-small cell lung cancer stage IIIA,
2811,Graft infection,
2812,Adenomatous Polyps,
2813,Invasive Pulmonary Aspergillosis,
2814,Kidney Transplantation,
2815,"Insemination, Artificial",
2816,Pre-menopausal Irregular Cycles and Bleedings,
2817,Urinary Bladder Diseases\Urologic Diseases,
2818,Uterine Sarcoma,
2819,Reading Disability,
2820,Intraabdominal Infections,
2821,Spontaneous Bacterial Peritonitis,
2822,Chronic Kidney Disease Stage 5 on Dialysis,
2823,Covid-19 Pneumonia,
2824,Carotid Atherosclerosis,
2825,Inborn Errors of Immunity,
2826,Muscle Neoplasm,
2827,Cardiothoracic Surgery,
2828,Thrombolysis,
2829,Bladder cancer,
2830,Adenocarcinoma of colon stage IV,
2831,Acute Cholecystitis,
2832,Resuscitation,
2833,POOR PROGNOSIS,
2834,Vascular Access for Hemodialysis and Inflammation,
2835,Atrial Arrhythmia,
2836,Idiopathic Growth Hormone Deficiency,
2837,Inflammatory Joint Disease (IJD),
2838,Fracture of Stent of Coronary Artery,
2839,Progesterone Receptor Positive Tumor,
2840,Grade 3b Follicular Lymphoma,
2841,Urea Cycle Disorder,
2842,Peri-Implantitis,
2843,Caustic Ingestion,
2844,Ehlers-Danlos Syndrome,
2845,Osteoporotic Fracture of Femur,
2846,Magnesium Sulfate Overdose,
2847,Limited Stage Small Cell Lung Cancer,
2848,"Low Grade Non-Hodgkin's Lymphoma, Adult",
2849,ESR1 Gene Mutation,
2850,Social Isolation,
2851,Arteriopathy,
2852,Metastatic melanoma,
2853,Left Ventricular Hypertrophy,
2854,Cartilage Diseases,
2855,B-Cell Lymphomas,
2856,Dermatofibrosarcoma,
2857,Well Differentiated Pancreatic Endocrine Tumor,
2858,"Tuberculosis, Pulmonary",
2859,Arteriovenous Graft Stenosis,
2860,Biomechanical,
2861,BRCA Wild Type Platinum Sensitive Recurrent Ovarian Cancer,
2862,Robotic Rehabilitation,
2863,"Cirrhosis, Liver",
2864,Intensive Care Unit,
2865,ROS1 Gene Translocation,
2866,Oncocytoma,
2867,Drug-Induced Nephropathy,
2868,Salt,
2869,Burkitts lymphoma,
2870,Cancer of ovary,
2871,Disease Parkinsons,
2872,Myelodysplasia,
2873,General anaesthesia,
2874,Erdheim-Chester disease,
2875,Pancreatic Cancer Patients Diagnosed With Locally Advanced or Metastatic Pancreatic Cancer Not Amenable to Curative Surgical Resection,
2876,Hyperaldosteronism,
2877,Sovra and Intra Tentorial Lesions,
2878,"Fractional Flow Reserve, Myocardial",
2879,Stable Coronary Syndromes,
2880,Venous Thrombosis,
2881,Mitral Valve Disease,
2882,Moderate Asthma,
2883,Acetabulum Fracture,
2884,Anhedonia,
2885,Drugs,
2886,"Fetal, Complicating Delivery",
2887,Acquired hypothyroidism,
2888,"Malignant neoplasm of peritoneum, unspecified",
2889,Persistent Knee Joint Synovitis,
2890,Upper Extremity,
2891,Hypogonadism,
2892,Aplastic Anaemia,
2893,Coronary Artery,
2894,General Safety Profile of DOTAREM,
2895,Any Tumor Type Eligible for Treatment With Talimogene Laherparepvec in Amgen or BioVEX-sponsored Clinical Trial,
2896,Anxiety State,
2897,Non Small Cell Lung Cancer Patients,
2898,Chronic Stroke,
2899,"Temperature Change, Body",
2900,Colon Cancer Stage II/III,
2901,Atrial Fibrillation Paroxysmal,
2902,Carotid Artery Plaque,
2903,ERAS,
2904,Erosive Osteoarthritis,
2905,Drug Use,
2906,Ovarian Cysts,
2907,Colorectal Cancer Stage II,
2908,"Bypass, Cardiopulmonary",
2909,Bronchiolitis Acute,
2910,"Diverticulum, Colon",
2911,Work Related Stress,
2912,Choroid Disease,
2913,Passive Exposure to Electronic Cigarette Aerosols,
2914,Regional Anesthesia,
2915,"Blood Vessels, Lymphatic Ducts and Nerves",
2916,Chronic Obstructive Pulmonary Disease Exacerbation,
2917,Central Venous Catheter,
2918,Positive End-expiratory Pressure,
2919,Myelin Degeneration,
2920,Cognition Disorder,
2921,Cold Symptom,
2922,Colonoscopy normal,
2923,Adenocarcinoma lung,
2924,Fungal infectious disorders,
2925,Acute myeloid leukemia without mention of remission,
2926,Chronic renal insufficiency,
2927,Malignant neoplasm of vulva recurrent,
2928,Transsexualism,
2929,Community-Acquired Infections,
2930,Dysgeusia,
2931,Cerebral Infarction,
2932,Curative Resection,
2933,Giant Cell Tumors,
2934,Limbal Stem Cell Deficiency Due to Ocular Burn,
2935,Metastatic Clear-Cell Renal Cell Carcinoma,
2936,Renal Vein Thrombosis,
2937,Patent Ductus Arteriosus,
2938,Food,
2939,Factor VII Deficiency,
2940,Toxemia,
2941,Hypertrophic Scar,
2942,Pyruvate Kinase Deficiency Anemia,
2943,Headache,
2944,Rectal neoplasm,
2945,Brain injured patientsNeurologicalRespiratory,
2946,Cervical cancer screening,
2947,Cytomegalovirus infection in transplanted patients,
2948,"Lymphoma, Mucosa-Associated Lymphoid Tissue",
2949,Acute-Phase Reaction,
2950,Instent Restenosis,
2951,Patients With Cancer,
2952,"Nonunion of Fracture [Pseudarthrosis], Site Unspecified",
2953,Neoplasm,
2954,Lipids,
2955,HCC,
2956,Perinatal Morbidity,
2957,Visceral Artery Aneurysms,
2958,Monoclonal Mast Cell Activation Syndrome,
2959,Chronic Subdural Hematoma,
2960,Circadian Rhythm Disorders,
2961,"Length Inequality, Leg",
2962,Endurance Training,
2963,Neonatal Infection,
2964,Aromatase Inhibitors,
2965,Discogenic Pain,
2966,Anaplastic large cell lymphoma T- and null-cell types refractory,
2967,"Oral Microbiome, COVID-19 (SARS-CoV-2 infection)",
2968,Assess the Periprocedural Myocardial Necrosis,
2969,Prevent Bleeding in Major Surgery,
2970,Severe Upper Limb Tremor Refractory to Medical Therapy,
2971,Staphylococcus Aureus,
2972,Cardiac AL Amyloidosis,
2973,Neurobiological Processing,
2974,Procedural Pain,
2975,Anesthesia Complication,
2976,CR- POPF,
2977,Thoracic Aorta Aneurysm,
2978,"Stroke, Acute Ischemic",
2979,"Pancreatitis, Acute",
2980,COASY Protein-associated Neurodegeneration (CoPAN),
2981,Intraoperative Respiratory Injury,
2982,Emotional Stress,
2983,Malignancies,
2984,Lobular Carcinoma in Situ,
2985,Plantar Pressure,
2986,Caesarean section,
2987,Familial amyloidosis,
2988,Investigations,
2989,Abortion related conditions and complications,
2990,Ulcerative colitis,
2991,Acquired Kidney Disease,
2992,Formula Feeding of Healthy Full Term Infants,
2993,Systemic Infections,
2994,Rectal Neoplasm,
2995,Brain Injury,
2996,Acute Respiratory Failure With Hypoxia,
2997,Pneumococcal Infections,
2998,Common Bile Duct Diseases,
2999,"Difference, Individual",
3000,Persistent Atrial Fibrillation,
3001,Chronic Myelomonocytic Leukemia (CMML),
3002,Cognitive Behavioral Therapy,
3003,Ovarian Clear Cell Carcinoma,
3004,Memory,
3005,Rectal Cancer Stage T1-T2,
3006,Stage I or II Micro-invasive Oral Cancer,
3007,Pulmonary Gas Exchange,
3008,Replacement,
3009,"Organ Failure, Multiple",
3010,Adult Children,
3011,Conn Adenoma,
3012,Upper Limb Amputation at the Wrist,
3013,Blood and lymphatic system disorders,
3014,Neuropathy peripheral,
3015,Intraoperative and postoperative pain control in laparoscopic abdominal surgery,
3016,Rhegmatogenous retinal detachment treated by parsplana vitrectomy (PPV),
3017,Gastrointestinal Diseases,
3018,Mouth Neoplasms,
3019,"Coagulation, Blood",
3020,Neurosurgery,
3021,Chronic Pancreatitis,
3022,Acute Ischemic Stroke,
3023,Patient Non-Compliance,
3024,Stage IVA Colorectal Cancer,
3025,Quality Improvement,
3026,"Blood Coagulation Disorders, Inherited",
3027,Endometriosis of Colon,
3028,Mild Asthma,
3029,Neonate,
3030,Insertional Achilles Tendinopathy,
3031,Maternal and Child Health,
3032,Pleural mesothelioma,
3033,Hodgkins disease,
3034,"Geographic atrophy, secondary to age-related macular degeneration",
3035,"Infant, Small for Gestational Age",
3036,Type 2 Diabetic Patients,
3037,Psychological Distress,
3038,Sexual Dysfunction,
3039,Blood Brain Barrier Defect,
3040,Gingivitis,
3041,Dialysis,
3042,Cardiac Implantable Electronic Device Complications,
3043,Prosthesis Migration,
3044,Cervical Neoplasm,
3045,Premature Infant Disease,
3046,Delivery Problem,
3047,Hip,
3048,ROP,
3049,Frail Elderly Syndrome,
3050,Bilateral Adrenal Hyperplasia,
3051,Type II diabetes mellitus inadequate control,
3052,Hodgins,
3053,Breast cancer recurrent,
3054,"Gaucher Disease, Non-Neuronopathic Form",
3055,Primitive Neuroectodermal Tumor (PNET),
3056,Gastrointestinal Dysmotility,
3057,Hepatic Cancer,
3058,"Bone Diseases, Infectious",
3059,Relapsing Remitting Multiple Sclerosis,
3060,"Depressive Disorder, Treatment-Resistant",
3061,Behavior Disorders,
3062,Acute Pain Due to Trauma,
3063,Muscle-Invasive Bladder Carcinoma,
3064,Plasmablastic Lymphoma,
3065,Hypertriglyceridemia,
3066,Scleroedema,
3067,Hepatitis chronic active,
3068,Idiopathic retroperitoneal fibrosis,
3069,Ca ovary,
3070,"Colorectal advanced neoplasia, advanced adenoma and colorectal cancer",
3071,Developmental dyslexia,
3072,Preterm preeclampsia in twin pregnancy,
3073,Urinary Catheterization,
3074,Gastrointestinal Complications,
3075,Post-stroke Spasticity,
3076,De Novo,
3077,Chronyc Myeloid Leukemia,
3078,Primary Study Outcome: Sodium Clearance in Dialysis,
3079,Preterm Infant,
3080,Geriatrics,
3081,Morbidity,
3082,Asphyxia Perinatal,
3083,"Heart Failure, Left Sided",
3084,Secondary Hemophagocytic Lymphohistiocytosis (sHLH),
3085,Implant Infection,
3086,Fentanyl,
3087,Normal Weight,
3088,Carotid artery stenosis,
3089,Crohns disease colon,
3090,Resilience in people with multiple sclerosis,
3091,Diffuse Large B Cell Lymphoma (DLBCL),
3092,Corneal Ulcer,
3093,Aortic Stenosis,
3094,Arteriovenous Graft Thrombosis,
3095,Endobronchial Mass,
3096,Valve and Anulus Repair,
3097,Vitreous Anomalies,
3098,Improve Quality of Life,
3099,New-onset Type 1 Diabetes,
3100,Tracheal Intubation,
3101,SARS CoV 2 Infection,
3102,Electrical Impedance Tomography,
3103,Intra Cerebral Hemorrhage,
3104,Structural brain disorders NEC,
3105,Breast adenocarcinoma stage II,
3106,Transthyretin-associated Amyloidosis With Polyneuropathy,
3107,Vascular Calcification,
3108,Viral Hepatitis,
3109,Hematologic Neoplasm,
3110,Oral Mucositis,
3111,Infection and Inflammatory Reaction,
3112,Respiratory Tract Infections,
3113,Foreign Bodies,
3114,Colon Polyp,
3115,Prolonged Sedation,
3116,Li-Fraumeni Syndrome,
3117,Skeletal Dysplasia,
3118,Local Anesthetic Toxicity,
3119,Chronic Diarrhoea of Infants and/or Young Children,
3120,Pleomorphic Lobular Breast Carcinoma in Situ,
3121,Radiological Evaluation,
3122,Carpal tunnel syndrome,
3123,Metastatic renal cell carcinoma,
3124,Soft tissue sarcomas histology unspecified,
3125,Renal and urinary tract neoplasms malignant and unspecified,
3126,"Lymphoma, Non-Hodgkin's",
3127,Biliary Carcinoma,
3128,Exocrine Pancreatic Insufficiency: Cystic Fibrosis,
3129,Hypovolemia During Liver Transplantation,
3130,Young Patients,
3131,BRCA1 and BRCA2 Mutation Carrier and BRCAness Phenotype,
3132,"Sarcomas, Epitheliod",
3133,Aortic Dilatation,
3134,Tear Film Insufficiency,
3135,Minimal Residual Disease,
3136,Fluid Therapy,
3137,Hemoglobinopathies,
3138,Joint Dysfunction,
3139,"Placenta, Hemorrhage, Complicating Delivery",
3140,"Nutrition, Healthy",
3141,Phenylketonuria (PKU),
3142,High-risk Human Papillomavirus Infection,
3143,Lung Cancer Stage IV,
3144,Renal insufficiency,
3145,COVID-19 respiratory infection,
3146,"Sexual Dysfunctions, Psychological",
3147,Urinary Symptoms,
3148,Hodgkin's Lymphoma Patients Who Underwent an Allogeneic Stem Cell Transplantation,
3149,Myocardial Fibrosis,
3150,Pacemaker DDD,
3151,Neurofibromatosis Type 1,
3152,Antihypertensive Drugs,
3153,Occlusive Arterial Disease,
3154,Hyperkyphosis,
3155,"Bipolar Affective Disorder, Currently Depressed, Moderate",
3156,Colorectal neoplasms malignant,
3157,Amyotrophic lateral sclerosis,
3158,Infections and infestations,
3159,Bone atrophy,
3160,Chronic Nephropathy,
3161,Painful Diabetic Peripheral Neuropathy,
3162,Osteochondritis Dissecans,
3163,Peritoneal Dialysis Complication,
3164,Bone Fractures,
3165,Primacy Immune Thrombocytopenia,
3166,Diffuse Spinal Glioma,
3167,Pseudomyxoma Peritonei,
3168,Soft Tissue Infections,
3169,Familial Hyperchylomicronemia,
3170,Weaning From Mechanical Ventilation,
3171,Borderline Resectable Pancreatic Cancer,
3172,Transgender Persons,
3173,Non-small Cell Lung Cancer Stage III,
3174,Rectal Cancer Nodal Metastasis,
3175,Venous Puncture,
3176,Right Coronary Artery Occlusion,
3177,"Normal pregnancy, labour and delivery",
3178,Adherence to medications among older outpatients,
3179,Chronic Post-operative Pain,
3180,Congenital Solitary Kidney,
3181,B-cell,
3182,Osteogenic Sarcoma,
3183,Psoriasis Vulgaris,
3184,Heart Valve Diseases or Prosthesis,
3185,"Head and Neck Carcinoma, Squamous Cell",
3186,Complication of Hemodialysis,
3187,Morality,
3188,Acute Upper Gastrointestinal Bleeding,
3189,Vitamin D Insufficiency,
3190,Patellar Tendinitis,
3191,Transplantation Infection,
3192,Breathlessness,
3193,Instabilities Lumbar,
3194,Nasopharynx Cancer,
3195,Heparin-induced thrombocytopenia,
3196,Hereditary sensory neuropathy,
3197,Right-sided colon cancer,
3198,Pulmonary resection,
3199,Fanconi Anemia,
3200,Peripheral Venous Catheter Complications,
3201,Aplastic Anemia,
3202,"Sarcoma, Breast Cancer, Lung Carcinomas, and Gynecological Cancer Amenable to Anthracycline Therapy",
3203,Cerebral Aneurysm,
3204,Usual Interstitial Pneumonia,
3205,Trisomy 13,
3206,Airway Complication of Anesthesia,
3207,Pancreaticoduodenectomy,
3208,Choroidal Neovascularization,
3209,Implantable Cardiac Defibrillator,
3210,Statins,
3211,Cerebrovascular Disease,
3212,Systemic mycosis,
3213,Burns second degree,
3214,Glucocerebrosidase Deficiency Disease,
3215,Nerve Block,
3216,Attention Deficit Hyperactivity Disorder (ADHD),
3217,Metastatic and Locally Advanced Soft Tissue Tumor Patients Unfit to Receive,
3218,Not-celiac Gluten Sensitivity,
3219,Carpal Tunnel Syndrome,
3220,Pseudomonas Aeruginosa Respiratory Tract Infection/Colonization,
3221,Abdominal Aortic Aneurysm (AAA),
3222,Body Image,
3223,TIA,
3224,Fatty Acid Hydroxylase-associated Neurodegeneration (FAHN),
3225,Diet Habit,
3226,Intimate Partner Violence,
3227,Adverse Events,
3228,Attention-Deficit/Hyperactivity Disorder (ADHD),
3229,Breast Milk,
3230,Tumor Recurrence,
3231,Emphysema or COPD,
3232,ACL Injuries,
3233,Cholestasis of pregnancy,
3234,Mycoses fungoides,
3235,Thymoma,
3236,Heart Arrest,
3237,Tibia Plateau Fractures,
3238,Scalp Psoriasis,
3239,Primary Disease,
3240,Postoperative Nausea and Vomiting,
3241,Lactic Acidosis,
3242,ALL Ph Positive,
3243,Intestinal GVHD,
3244,Bicuspid Aortic Valve,
3245,Tuberculin Test,
3246,Orthotopic Liver Transplantation,
3247,Prematurity,
3248,Ocular Infections,
3249,Pressure Injury,
3250,Autoimmune Pancreatitis,
3251,Infectious Disease of Nervous System,
3252,Noninvasive Positive Pressure Ventilation,
3253,Age Related Macular Degeneration,
3254,Machine Learning,
3255,Focal-Onset Seizure,
3256,Hernia Inguinal,
3257,Ventricular failure,
3258,Gauchers disease,
3259,Hypoadrenalism,
3260,Sclerosis multiple,
3261,Health-related quality of life and survivorship in locally recurrent rectal cancer,
3262,COVID-19 (SARS-CoV-2 infection) detection in minimally invasive surgery,
3263,Urinary Tract Infections,
3264,Digital Ulcers,
3265,B-cell Lymphoma,
3266,IPI≥2,
3267,Complication of Cardiac Defibrillator,
3268,Liver Disease,
3269,Colorectal Laparoscopic Resection,
3270,Primary Graft Dysfunction,
3271,Telemedicine,
3272,Skin Neoplasm,
3273,Neurovascular Disorders,
3274,Liver Transplant Disorder,
3275,Chronic Total Occlusion of Coronary Artery,
3276,Discoid Meniscus of Knee,
3277,Angular Limb Deformity,
3278,Athlete,
3279,Patient Fall,
3280,Cystic fibrosis pancreatic,
3281,Progressive muscular atrophy (PMA),
3282,Age-related macular degeneration (AMD),
3283,Heart Block,
3284,Migraine Without Aura,
3285,Tobacco Use,
3286,Oral Anticoagulants,
3287,Acute Lymphocytic Leukemia,
3288,Penile Squamous Cell Carcinoma,
3289,"Acute Lymphoblastic Leukemia, in Relapse",
3290,"Dermatitis, Radiation-Induced",
3291,Adrenal Incidentaloma,
3292,Hemothorax,
3293,"Heart Failure, Reduced Ejection Fraction",
3294,Pancreatic Adenocarcinoma Recurrent,
3295,Long COVID,
3296,Transplant Failure,
3297,EGFR,
3298,Skin cancer melanoma,
3299,"Tic disorder, unspecified",
3300,Ventilation pneumonitis,
3301,Enterobacteriaceae Infections,
3302,Glucose Intolerance,
3303,Partial Epilepsy in Children and Adolescents,
3304,"Cholecystitis, Acute",
3305,"Sarcoma, Spindle Cell",
3306,Learning Curve of Laparoscopic Colorectal Resections,
3307,Prevention of Venous Thromboembolism,
3308,Cerebral Vein Thrombosis,
3309,Idiopathic Parkinson Disease,
3310,Wearable Electronic Devices,
3311,Sodium Retention,
3312,NTRK Gene Fusion Overexpression,
3313,FGFR3 Gene Translocation,
3314,Comprehensive Geriatric Assessment,
3315,Surgical Complication,
3316,Eosinophilic Gastrointestinal Disorders,
3317,Chronic kidney disease,
3318,Head and neck cancer,
3319,Febrile neutropenia/bacterial infections in immunocompromised cancer patients,
3320,Lung cancer,
3321,Chronic Liver Disease,
3322,Knee Osteochondral Lesion,
3323,Femoral Fractures,
3324,Healthy Blood Donors,
3325,Immunity,
3326,Achilles Tendon Rupture,
3327,Hemostatis,
3328,Trisomy 18,
3329,NAFLD,
3330,Chronic Recurrent Multifocal Osteomyelitis,
3331,Discrepancy Length,
3332,Endometriosis of Umbilicus,
3333,Myocarditis,
3334,Chronic Lung Disease,
3335,Large cell lung cancer stage IV,
3336,Coronary artery stenosis,
3337,Hailey-Hailey disease,
3338,In vitro fertilisation,
3339,Leigh syndrome,
3340,Left ventricular hypertrophy assessed by echocardiography in non diabetic chronic kidney disease patients receiving renal transplant,
3341,Ulcerated Melanomas,
3342,Breakthrough Cancer Pain,
3343,Androgen Receptor Gene Overexpression,
3344,Neonatal Hypoglycemia,
3345,Head and Neck Neoplasm,
3346,Chondrosarcoma,
3347,It is Possible That Amadeo Will Guarantee a Greater Clinical Improvement as Compared to an Occupational Therapy Thanks to the Strengthening of Brain Plasticity,
3348,Bone Giant Cell Tumor,
3349,Innate Immunity,
3350,Cancer Metastatic,
3351,Pacemaker Complication,
3352,Achilles Tendinopathy,
3353,Childhood Idiopathic Nephrotic Syndrome,
3354,Familial Mediterranean Syndrome,
3355,Pulmonary Failure,
3356,Urgency Incontinence,
3357,Testicular Neoplasms,
3358,Allogeneic Stem Cell Transplantation,
3359,Wound Healing,
3360,Mucosal Neoplasm of Oral Cavity,
3361,PDAC of the Body and the Tail of the Pancreas,
3362,Ventricular Remodeling,
3363,Colon Neoplasms,
3364,Retinitis Pigmentosa 20,
3365,Newborn Morbidity,
3366,"ALL, Childhood",
3367,Pertrochanteric Fracture,
3368,Binge-Eating Disorder,
3369,Resectable Colorectal Carcinoma,
3370,Prostatic neoplasms and hypertrophy,
3371,Renal cell carcinomas,
3372,Prophylaxis against HIV infection,
3373,RTI,
3374,Advanced Desmoid Tumor,
3375,"Pneumonia, Bacterial",
3376,Extraskeletal Myxoid Chondrosarcoma,
3377,Acute on Chronic Respiratory Failure,
3378,Chronic Hepatitis C Virus (HCV) Infection Genotype 1,
3379,Human Milk Fortification,
3380,Feeding Disorder Neonatal,
3381,Multiple Myeloma in Relapse,
3382,"Analgesia, Epidural",
3383,Chronic Rhinosinusitis With Nasal Polyposis,
3384,DNA Damage,
3385,Wegeners granulomatosis,
3386,Malignant neoplasm of major salivary glands recurrent,
3387,Testicular Germ Cell Tumor,
3388,Peripheral Arterial Disease (PAD),
3389,Male Hypogonadism,
3390,Postoperative Complication,
3391,"Liver Failure, Acute",
3392,Carotid Artery Disease,
3393,Medication Errors,
3394,Multiple Level Stable Thoracolumbar Fracture Type AO A3,
3395,Breast Cancer Invasive Nos,
3396,Small Cell Lung Cancer Recurrent,
3397,Blincyto Use in Routine Clinical Practice,
3398,High Definition Electroencefalography,
3399,Inappropriate Shocks From Implanted Defibrillator,
3400,Lymph Node Disease,
3401,Chronic Inflammatory Bowel Disease,
3402,Vascular Access Site Management,
3403,Hyperferritinemia,
3404,Pancreatic cancer non-resectable,
3405,Hypereosinophilic Syndrome,
3406,Heart Transplantation,
3407,Craniotomy,
3408,Thyroid Nodule,
3409,Secondary Lung Cancer,
3410,Residual Neuromuscular Block,
3411,Myeloma,
3412,Rectocele,
3413,Cognition Disorders,
3414,Abdominal Pain,
3415,Acute Hypercapnic Respiratory Failure,
3416,Type 3 Von Willebrand's Disease,
3417,Patient Safety,
3418,Aortic Rupture,
3419,ADCC,
3420,Acute Upper Gastrointestinal Hemorrhage,
3421,GM2 Gangliosidosis,
3422,ITP Secondary to Infection,
3423,Approach-Approach Conflict,
3424,GEP-NET,
3425,Exercise Intolerance,
3426,Musculoskeletal Deformity,
3427,Pharmacovigilance,
3428,Orthopedic Disorder,
3429,"Non-Hodgkin Lymphoma, B-cell",
3430,HIV infection,
3431,Metabolic syndrome,
3432,Kidney-pancreas Transplantation,
3433,"Patients With CLL Refractory (SD, PD or CR/PR < 6 Months) Following no More Than Two Prior Treatment Lines",
3434,Pain Relief,
3435,Ultrasonography,
3436,Gluteal Tendinitis,
3437,Oligometastasis,
3438,Non-celiac Gluten/Wheat Sensitivity,
3439,Ultrasounds,
3440,HER2-positive Colon Cancer,
3441,Ebola,
3442,Dermatitis diaper,
3443,"Polycystic kidney, autosomal dominant",
3444,Dehydration,
3445,COVID-19 treatment,
3446,Childhood Malignant Fibrous Histiocytoma of Bone,
3447,Pseudohypoparathyroidism,
3448,Mildly Hypercholesterolemic Subjects,
3449,Infra Renal Aortic Aneurysm,
3450,Tourette's Syndrome,
3451,Cancer Patients,
3452,Neurophysiologic Abnormality,
3453,Air Leakage,
3454,Chronic Phase Chronic Myeloid Leukemia,
3455,Neuroendocrine Carcinomas,
3456,Dyslipidemias,
3457,Generalised Tonic-Clonic Seizures,
3458,GM1 Gangliosidosis,
3459,Metastatic Disease,
3460,Bowel Disease,
3461,"Colonization, Asymptomatic",
3462,Bladder discomfort,
3463,Salivary gland carcinoma,
3464,Aortic valve stenosis,
3465,Relapsing multiple sclerosis,
3466,Kidney Failure,
3467,Atypical Endometrial Polyps,
3468,Skin Fibrosis,
3469,Thrombelastography,
3470,Transitional Cell Carcinoma of Bladder,
3471,Hemodynamic Instability,
3472,HIV Seropositivity,
3473,"Parkinson's Disease, Idiopathic",
3474,Acute Pain,
3475,ST Segment Elevation Myocardial Infarction,
3476,Bone Metastases,
3477,Idiopathic Thrombocytopenic Purpura,
3478,"Trauma, Head",
3479,Behçet Disease,
3480,"Satisfaction, Consumer",
3481,"Aneurysm, Brain",
3482,Apneic Spells of Newborn Nos,
3483,Hyponatremia With Excess Extracellular Fluid Volume,
3484,Tay-Sachs Disease,
3485,"Brain Injuries, Acute",
3486,Neonatal Sepsis,
3487,Left Bundle Branch Block (LBBB) on ECG,
3488,Periosteal Chondrosarcoma,
3489,Pharmacogenetics,
3490,Retinal exudates,
3491,Motor neurone disease,
3492,Severe or moderate haemophilia A patients with inhibitors,
3493,Colorectal Adenomas,
3494,Hypercapnic Respiratory Failure,
