,AHC,Sponsors/Collaborators,Number of Collaborations
5651,Federico II,Southern California Research LLC,1
5652,Federico II,Instituto da Crianca com Diabetes,1
5653,Federico II,Kuzbass Regional Clinical Hospital n.a. S.V. Belyaev,1
5654,Federico II,"Duplicate_Western States Clinical Research, Inc. /ID# 201702",1
5655,Federico II,Precision Comprehensive Clinical Research Solutions /ID# 208386,1
5656,Federico II,Connecticut Gastroenterology,1
5657,Federico II,Kyung Hee University,1
5658,Federico II,Azienda Ospedaliera Universitaria Consorziale Policlinico /ID# 218558,1
5659,Federico II,Instituto de Investigaciones Clínicas Quilmes (IICQ) SRL_Investigational Site Number: 0320003,1
5660,Federico II,"Cardiology Department, Ospedale Guglielmo da Saliceto - Piacenza",1
5661,Federico II,Hôpital F Mitterrand - Dermatology,1
5662,Federico II,Praxis Dr. Schönfelder,1
5663,Federico II,Houston Endoscopy and Research Center /ID# 206978,1
5664,Federico II,Praxis Dres. Roesler und Lachma /ID# 128466,1
5665,Federico II,Centro Integral Medico Sjr,1
5666,Federico II,Villa Sofia Hospital,1
5667,Federico II,4840018 - Centro de Alta Especialidad Dr. Rafael Lucio,1
5668,Federico II,Republic Hospital of Klaipeda,1
5669,Federico II,Nasz Lekarz Przychodnie Medyczne /ID# 216176,1
5670,Federico II,Research Institute of Rheumatology named after V.A. Nasonova /ID# 207643,1
5671,Federico II,Chongqing General Hospital,1
5672,Federico II,Praxis Dr. Sbornik /ID# 213668,1
5673,Federico II,OncoResearch Lerchenfeld GmbH /ID# 225034,1
5674,Federico II,Lux Med Onkologia - Szpital Szamocka /Id# 221265,1
5675,Federico II,Giovanni Paolo II-Maria Paternò,1
5676,Federico II,Aleksandre Aladashvili Clinic LLC,1
5677,Federico II,Centro Urologico Profesor Bengio,1
5678,Federico II,TLC Clinical Research Inc /ID# 232334,1
5679,Federico II,Midway Immunology and Research Center /ID# 229194,1
5680,Federico II,CCR Prague sro,1
5681,Federico II,Wojewodzki Szpital Specjalistyczny im. Janusza Korczaka /ID# 228723,1
5682,Federico II,Centro de Estudios Clínicos SAGA SpA,1
5683,Federico II,Thalassotherapia Opatija,1
5684,Federico II,Saint-Petersburg State Pediatric Medical Academy,1
5685,Federico II,Ucl-St Luc,1
5686,Federico II,"Szpital Praski, Samodzielny Publiczny ZOZ",1
5687,Federico II,Regionaal Ziekenhuis Jan Yperman VZW,1
5688,Federico II,BRCR Medical Center Inc /ID# 152015,1
5689,Federico II,Gastro Center of Maryland /ID# 126969,1
5690,Federico II,CHU de SAINT ETIENNE - Hopital Nord /ID# 130978,1
5691,Federico II,Hospital Base,1
5692,Federico II,East and North Hertfordshire NHS Trust,1
5693,Federico II,Toowoomba Base Hospital,1
5694,Federico II,Terveystalo Mikkeli,1
5695,Federico II,8400896 - Advanced Cardiovascular LLC,1
5696,Federico II,8400503 - The Heart and Vascular Center / Holy Family Memorial,1
5697,Federico II,Military University Hospital Prague,1
5698,Federico II,Tokai University Hachioji Hospital,1
5699,Federico II,Praxis Dres. Ziegler & Partner /ID# 213647,1
5700,Federico II,Altlay Regional Oncology Dispensary,1
5701,Federico II,DE KK Infektológiai Klinika,1
5702,Federico II,HCL - Hopital Lyon Sud /ID# 227086,1
5703,Federico II,ARS-MEDICAL Sp. z o.o. /ID# 225848,1
5704,Federico II,Dumfries and Galloway Royal Infirmary,1
5705,Federico II,"Gastroenterology Institute, Division of Medicine /ID# 132530",1
5706,Federico II,Fundación Investigar,1
5707,Federico II,Izmir Atatürk Eğitim ve Araştırma Hastanesi,1
5708,Federico II,Lasarettet i Motala,1
5709,Federico II,Nil Ratan Sircar Medical College and Hospital,1
5710,Federico II,Kitakyushu Municipal Medical Center,1
5711,Federico II,Cabinet Medical Dr Triff Carina /Id# 207528,1
5712,Federico II,Nucleo de Pesquisa Clínica do Rio Grande do Sul-NPCRS,1
5713,Federico II,The Kinghorn Cancer Centre,1
5714,Federico II,Moscow State budget healthcare /ID# 221116,1
5715,Federico II,Pori Vaccine Research Clinic,1
5716,Federico II,Hospital La Arruzafa,1
5717,Federico II,Karolinska Institute,1
5718,Federico II,Boston Area Research Initiative,1
5719,Federico II,Ospedale ICOT,1
5720,Federico II,IQVIA Solutions,1
5721,Federico II,"Policlinico 'SS. Annunziata' Clinica Pediatrica Via dei Vestini, Località colle dell'Ara 66100, Chieti",1
5722,Federico II,"Medical Trust Clinics, Inc.",1
5723,Federico II,Zala Megyei Szent Rafael Kórház,1
5724,Federico II,Instytut Diabetologii Sp. z o.o.,1
5725,Federico II,AXON Clinical s.r.o.,1
5726,Federico II,Federal University of Paraná,1
5727,Federico II,Azienda Complesso Ospedaliero San Filippo Neri,1
5728,Federico II,"Clinical Hospital of the Ministry of Health, Department of Endoscopic Surgery",1
5729,Federico II,Hopital Louis Pasteur Colmar,1
5730,Federico II,Multiprofile Hospital for Active Treatment Plovdiv,1
5731,Federico II,Florida Digestive Specialist,1
5732,Federico II,"Great Lakes Medical Research, LLC",1
5733,Federico II,"Clinicos Asociados BOCM, S.C.",1
5734,Federico II,Institutul National de Boli Infectioase 'Prof. Dr. Matei Bals',1
5735,Federico II,CEN-Consultorios Especializados en Neurociencias,1
5736,Federico II,ASST Sette Laghi /ID# 234183,1
5737,Federico II,Ascension St. Mary's Hospital,1
5738,Federico II,First Affiliated Hospital of Xinxiang Medical University,1
5739,Federico II,University of Torino - Rita Levi Montalcini Department of Neuroscience,1
5740,Federico II,ETG LODZ,1
5741,Federico II,"PlanIt Research, PLLC",1
5742,Federico II,The Retinal Clinic,1
5743,Federico II,"The Children's Clinic Of Jonesboro, P.A.",1
5744,Federico II,CHI Poissy/St Germain en Laye,1
5745,Federico II,Klinik für Nieren- und Hochdruckkrankheiten,1
5746,Federico II,Hospitalier Germon et Gauthier /ID# 137874,1
5747,Federico II,Wenatchee Valley Hospitals & Clinics,1
5748,Federico II,Überörtliche Radiologische Gemeinschaftspraxis Dresden,1
5749,Federico II,Fachklinik Hornheide,1
5750,Federico II,Fondazione del Piemonte per l' Oncologia - Istituto di Ricovero e Cura a Carattere Scientifico (I.R.C.C.S.),1
5751,Federico II,Hyperclinica MedLife Grivita,1
5752,Federico II,8400910 - Cardiovascular Innovation and Research Center,1
5753,Federico II,3480035 - Tolna Megyei Balassa Janos Korhaz,1
5754,Federico II,Koga Hospital,1
5755,Federico II,Telemark Hospital,1
5756,Federico II,8040019 - Cherkasy Regional Cardiological Center,1
5757,Federico II,Ospedale 'Guglielmo da Saliceto',1
5758,Federico II,Emeritus Research /ID# 207202,1
5759,Federico II,Medical Center Kuna-Peric /ID# 208047,1
5760,Federico II,Zentrum für Infektiologie Berlin Prenzlauer Berg GmbH,1
5761,Federico II,Synexus Polska Sp. z o.o. Oddzial w Gdyni,1
5762,Federico II,A.O.U. Policlinico G. Rodolico S.Marco- Presidio G.Rodolico /ID# 214802,1
5763,Federico II,Velocity Clinical Research Chula Vista /ID# 238352,1
5764,Federico II,Hopital Louis Pasteur,1
5765,Federico II,Haaglanden Medisch Centrum /ID# 229686,1
5766,Federico II,Centrum Medyczne Pratia Poznan /ID# 227236,1
5767,Federico II,Opća Bolnica Varaždin,1
5768,Federico II,"Little Rock Children's Clinic, PA",1
5769,Federico II,Ohno Memorial Hospital,1
5770,Federico II,Praxis Dr. Richter,1
5771,Federico II,Santa Monica Research Institut /ID# 118675,1
5772,Federico II,GLOBE Clinical Research Sp. z o.o. LLC,1
5773,Federico II,Assaf Harofeh M.C,1
5774,Federico II,Stauferklinikum Schwäbisch Gmünd,1
5775,Federico II,Unità Operative Complesse di Ematologia 1 e 2 Centro Trapianti di Midollo dell'IRCCS AOU San Martino-IST,1
5776,Federico II,Wilgers Oncology Centre,1
5777,Federico II,8401093 - Advanced Heart Care Group,1
5778,Federico II,0320038 - Sanatorio Mayo Privado S.A.,1
5779,Federico II,Praxiszentrum Alte Maelzerei,1
5780,Federico II,Arthritis and Rheumatism Associates /ID# 209882,1
5781,Federico II,ZNA - Jan Palfijn /ID# 208212,1
5782,Federico II,Clinexpert SMO,1
5783,Federico II,LEADER Research /ID# 249701,1
5784,Federico II,Family Clinical Research Unit FAM-CRU,1
5785,Federico II,AO Mater Domini U.O. Psichiatria,1
5786,Federico II,Uniklinikum Dresden,1
5787,Federico II,"Chicago Medical Research, LLC",1
5788,Federico II,Ashfield Primary Care Centre,1
5789,Federico II,TPMG Clinical Research,1
5790,Federico II,IRCCS 'Eugenio Medea' Polo Scientifico di Conegliano,1
5791,Federico II,Forstep /ID# 125206,1
5792,Federico II,"Hoffstadt, Iserlohn, DE /ID# 98208",1
5793,Federico II,General Hospital of Thessaloniki Hippokrateio /ID# 127400,1
5794,Federico II,Klinička Bolinca Merkur,1
5795,Federico II,Centrum Miriada Prywatny,1
5796,Federico II,San Juan Oncology Associates,1
5797,Federico II,ULSS 8,1
5798,Federico II,Dermed Centrum Medyczne Sp. z o.o.,1
5799,Federico II,Atlanta VA Medical Center,1
5800,Federico II,1000053 - Multiprofile Hospital For Active Treatment - Pazardzhik AD,1
5801,Federico II,2760193 - CardioVaskulares Centrum Frankfurt,1
5802,Federico II,2760176 - Evangelisches Krankenhaus Witten,1
5803,Federico II,6420047 - Spitalul de Urgenta 'Sf. Ioan Cel Nou' Suceava,1
5804,Federico II,Care Access Research - Youngstown,1
5805,Federico II,Fortis Hospital,1
5806,Federico II,Promedica S.C,1
5807,Federico II,Thessaloniki Hospital of Skin and Venereal Diseases /ID# 201124,1
5808,Federico II,Endoskopia Sp. z.o.o.,1
5809,Federico II,Ch Chalons En Champagne /Id# 216668,1
5810,Federico II,University of Ghana,1
5811,Federico II,Azienda Ospedaliera AOU di Cagliari,1
5812,Federico II,"Midland Research Group, Inc /ID# 231885",1
5813,Federico II,Terveystalo Jyväskylä,1
5814,Federico II,Evangelischisches Krankenhaus,1
5815,Federico II,Azienda Ospedaliera S. Maria della Misericordoa Struttura Operativa Complessa di Patologia Neonatale e terapia Intesiva Neonatale,1
5816,Federico II,Uniklinikum Lübeck,1
5817,Federico II,Tallinn Children’s Hospital,1
5818,Federico II,"Advanced Pharma Research, Inc",1
5819,Federico II,GASTRO JeKa s.r.o.,1
5820,Federico II,Vinnitsa Regional Clinical Hospital im. N.I. Pirogov,1
5821,Federico II,University of Lille,1
5822,Federico II,"Caguas Gastroenterology and Hepatology Center, LLC",1
5823,Federico II,Fejér Vármegyei Szent György Egyetemi Oktató Kórház /ID# 220949,1
5824,Federico II,Infektionsmedizinisches Centrum Hamburg,1
5825,Federico II,Clinica Anestezie si Terapie Intensiva,1
5826,Federico II,AdventHealth Innovation Tower,1
5827,Federico II,CH Pierre Haute,1
5828,Federico II,"IRCCS Fondazione Policlinico San Matteo, Universita di Pavia, Ematologia",1
5829,Federico II,Internistische Praxisgemeinschaft /ID# 129000,1
5830,Federico II,"Samodzielny Publiczny Szpital Kliniczny Nr 1, Klinika Hematoonkologii i Transplantacji Szpiku",1
5831,Federico II,CHRU Charles Nicolle,1
5832,Federico II,Hospital Teresa Herrera-Materno Infantil,1
5833,Federico II,Rijnstate Ziekenjuis,1
5834,Federico II,Community Clinical Research Network,1
5835,Federico II,Szpital Wojewodzki nr 2 w Rzeszowie,1
5836,Federico II,Klinische Forschung Berlin-Mitte GmbH,1
5837,Federico II,Sapporo Skin Clinic,1
5838,Federico II,NZOZ Specjalistyczna Przychodnia Dermatologiczna Specderm,1
5839,Federico II,St. Joseph Mercy Hospital,1
5840,Federico II,0320040 - Instituto de Cardiología de Corrientes,1
5841,Federico II,"Holy Family Memorial, Inc. /ID# 209387",1
5842,Federico II,VIP Trials,1
5843,Federico II,Sonomed Sp. z o.o.,1
5844,Federico II,Children's of Alabama,1
5845,Federico II,Clinica Univ. de Navarra,1
5846,Federico II,Emory Midtown Infectious Disease Clinic /ID# 229927,1
5847,Federico II,Rheumatologie im Struenseehaus,1
5848,Federico II,"Division, of Cardiology, 'A. De Gasperis' Cardio Center, ASST Grande Ospedale Metropolitano Niguarda, Piazza Ospedale Maggiore 3, 20162, Milan",1
5849,Federico II,Tennova Healthcare-Turkey Creek Medical Center,1
5850,Federico II,Kinderklinik und Kinderpoliklinik,1
5851,Federico II,MEDICONA s.r.o.,1
5852,Federico II,Clinical Research Alliance,1
5853,Federico II,Scientific Research Institute of Oncology n.a. N.N. Petrov,1
5854,Federico II,Get Well Immediate Care,1
5855,Federico II,Zaporizhia Regional Clinical Hospital,1
5856,Federico II,0320023 - Clínica Privada del Prado,1
5857,Federico II,6040017 - Clinica El Golf,1
5858,Federico II,MedLife Grivita,1
5859,Federico II,Polyclinique Courlancy /ID# 201537,1
5860,Federico II,Hiramoto skin clinic /ID# 204048,1
5861,Federico II,Hospital Raja Permaisuri Bainun /ID# 207920,1
5862,Federico II,Fundatia 'Dr. Victor Babes',1
5863,Federico II,L2IP - Instituto de Pesquisas Clinicas Ltda.,1
5864,Federico II,Neki Servicios Medicos Profesionales S D Rl de Cv /Id# 216977,1
5865,Federico II,Arthur Davison Childrens's Hospital,1
5866,Federico II,One of a Kind Clinical Research Center LLC,1
5867,Federico II,Hospital de Manises,1
5868,Federico II,Hillcrest Clinical Research,1
5869,Federico II,A.O.R.N.A.S. Garibaldi Nesima di Catania,1
5870,Federico II,IRCCS Neurologico Fondazione 'C. Mondino',1
5871,Federico II,Hosp. Univ. Pta. de Hierro Majadahonda,1
5872,Federico II,8400496 - Advanced Cardiology Associates,1
5873,Federico II,0320026 - Clínica Colombo,1
5874,Federico II,8040009 - Kiev City Clinical Hospital No. 5,1
5875,Federico II,Centrul Medical Unirea SRL,1
5876,Federico II,Medical rehabilitation center,1
5877,Federico II,Alberta DermaSurgery Centre /ID# 205674,1
5878,Federico II,Amarillo Ctr for Clin Research /ID# 208347,1
5879,Federico II,CGM Research Trust /ID# 210498,1
5880,Federico II,University Clinic of Hematology-Skopje,1
5881,Federico II,HaFCED - Hamburgisches Forschungsinstitut für chronisch entzündliche Darmerkrankungen,1
5882,Federico II,Asahikawa Medical College Hospital,1
5883,Federico II,Nizhny Novgorod Regional Hospital N.A. Semashko,1
5884,Federico II,A.O.U. Maggiore della Carita,1
5885,Federico II,Public institution Respublikinė Šiauliai Hospital,1
5886,Federico II,Clinical Trial Investigators,1
5887,Federico II,Opsedale San Martino di Genova,1
5888,Federico II,"Azienda Ospedaliero Universitaria Senese, Policlinico S. Maria alle Scotte",1
5889,Federico II,Hospital da Cidade de Passo Fundo,1
5890,Federico II,S.C. Urologia- AO 'Città della Salute e della Scienza' di Torino - OSP.S. GIOV.BATTISTA MOLINETTE,1
5891,Federico II,Hosono Clinic,1
5892,Federico II,Elisabeth-Krankenhaus Essen,1
5893,Federico II,Coastal Carolina Health Care /ID# 208619,1
5894,Federico II,General Hospital of Thessaloniki 'Hippokration',1
5895,Federico II,"Moeller, Wiesbaden, DE /ID# 213955",1
5896,Federico II,Centro Dermatologico Del Country S de Rl de Cv /Id# 225460,1
5897,Federico II,Szpital im. Sw. Jadwigi Slaskiej w Trzebnicy,1
5898,Federico II,Municipal Non-Profit Enterprise City Clinical Hospital #16 of Dnipro City Council,1
5899,Federico II,"Coastal Research Institute, LLC /ID# 233233",1
5900,Federico II,AdventHealth Diab Inst,1
5901,Federico II,"Discovery MMS Services, INC",1
5902,Federico II,UF Health Shands Hospital,1
5903,Federico II,Emory Midtown Infectious Disease Clinic /ID# 133724,1
5904,Federico II,VITAMED Galaj i Cichomski spólka jawna,1
5905,Federico II,Hospital São Sebastião,1
5906,Federico II,8400484 - Clearwater Cardiovascular and Interventional Consultants,1
5907,Federico II,8400639 - Genesis Health Care System,1
5908,Federico II,8040038 - City Hospital 4,1
5909,Federico II,University of Hong Kong - Shenzhen Hospital,1
5910,Federico II,M & M Centrs LTD /ID# 208733,1
5911,Federico II,Kaiser Permanente Sacramento Medical Center,1
5912,Federico II,Hietzing hospital,1
5913,Federico II,Royal Cornwall Hospital Trust,1
5914,Federico II,"I.H.S. Health, LLC",1
5915,Federico II,Gastroenterology and internal medicine research institute,1
5916,Federico II,FNsP FDRoosevelta Banska Bystrica,1
5917,Federico II,Universitaetsklinikum Giessen und Marburg /ID# 214734,1
5918,Federico II,Ospedale Generale Provinciale di Macerata,1
5919,Federico II,Niepubliczny Zaklad Opieki Zdrowotnej 'SALMED',1
5920,Federico II,Diabestesinstitut Heidelberg,1
5921,Federico II,Hospital do Cancer de Londrina,1
5922,Federico II,DIALINE s.r.o.,1
5923,Federico II,Queen Elizebeth Hospital,1
5924,Federico II,Hospital Militar Principal,1
5925,Federico II,Presidio Ospedale 'S.Antonio Abate di Gallarate',1
5926,Federico II,Instituto de Salud Digestiva /ID# 157435,1
5927,Federico II,Sankt Gertrauden Krankenhaus,1
5928,Federico II,ASL19 - Ospedale Cardinal Massaia,1
5929,Federico II,City Medical Group,1
5930,Federico II,Hospital do CEPON,1
5931,Federico II,Hunterdon Hematology Oncology,1
5932,Federico II,Shibaki Dermatology Clinic,1
5933,Federico II,"4840036 - Cardiolink Clin Trials, SC.",1
5934,Federico II,6420090 - Spitalul Clinic de Urgenţă 'Bagdasar-Arseni',1
5935,Federico II,Precision Comprehensive Clinical Research Solutions /ID# 210597,1
5936,Federico II,"Louisiana Clinical Research, LLC",1
5937,Federico II,Gastrointestinal Associates,1
5938,Federico II,Länssjukhuset i Kalmar,1
5939,Federico II,Inner Mongolia People's Hospital,1
5940,Federico II,Innovative Research of West Florida,1
5941,Federico II,Clinique de l'Infirmerie Protestante de Lyon,1
5942,Federico II,Samodzielny Publiczny Szpital Wojewodzki im Papieza Jana Pawla II w Zamosciu,1
5943,Federico II,Psoriahue-Medicina Interdisciplinar,1
5944,Federico II,Ramsay Sante,1
5945,Federico II,Cabinet Médical 65 prado,1
5946,Federico II,Cary Gastroenterology Assoc PA /ID# 108198,1
5947,Federico II,Benner & Dommermuth /ID# 129119,1
5948,Federico II,Kempenhaeghe,1
5949,Federico II,University of Cincinnatti,1
5950,Federico II,ONCOCLINIC Clinica de Oncologia LTDA,1
5951,Federico II,Dr. med. Nicole Gasser,1
5952,Federico II,Ippokrateio General Hospital of Thessaloniki,1
5953,Federico II,Lehigh Valley Hospital Muhlenberg,1
5954,Federico II,Union Clinic,1
5955,Federico II,Hospital Pérola Byington,1
5956,Federico II,7920030 - T. C. Saglık Bakanlıgı - Bagcılar Egitim ve Arastırma Hastan,1
5957,Federico II,Communal Institution 'Poltava Reg.Cl.H. n.a.M.V.Sklifosovskogo',1
5958,Federico II,Advanced Gastroenterology Associates,1
5959,Federico II,Latin Clinical Trial Center,1
5960,Federico II,CEDIC Centro de Investigaciones Clinicas /ID# 217184,1
5961,Federico II,CH Georges Renon /ID# 216174,1
5962,Federico II,Rabin Medical Center /ID# 219139,1
5963,Federico II,North Manchester General Hospital,1
5964,Federico II,Complejo Hospitalario de Cáceres,1
5965,Federico II,General University Hospital of Thessaloniki AXEPA /ID# 225398,1
5966,Federico II,AOU Policlinico 'Gaspare Rodolico',1
5967,Federico II,Fac Med de Sao Jose do Rio Preto,1
5968,Federico II,Centro de investigación en Artritis y Osteoporosis S.C.,1
5969,Federico II,Spitalul Clinic de Nefrologie Dr. Carol Davila,1
5970,Federico II,GHI Le Raincy - Montfermeil /ID# 98642,1
5971,Federico II,Hospital Universitari Sant Joan d'Alacant,1
5972,Federico II,"Avinash C. Gupta, MD, PC",1
5973,Federico II,Azienda Ospedaliera S. Chiara,1
5974,Federico II,Consumer Healthcare Products Association,1
5975,Federico II,Central Care Cancer Center,1
5976,Federico II,NZOZ Wilmed,1
5977,Federico II,8400500 - Tennova Health Care - Turkey Creek Medical Center,1
5978,Federico II,8400482 - Amarillo Heart Clinical Research Institute,1
5979,Federico II,CMiP - Centro Mineiro de Pesquisa Ltda - ME /ID# 207496,1
5980,Federico II,Infinite Clinical Research,1
5981,Federico II,National Center for Diabetes Research LTD,1
5982,Federico II,Ospedale Amedeo di Savoia,1
5983,Federico II,Rheuma-Praxis Bayreuth,1
5984,Federico II,Vall d'Hebron Institut de Recerca,1
5985,Federico II,Istituto dei Tumori 'Giovanni Paolo II',1
5986,Federico II,Optimal Research Sites,1
5987,Federico II,"Cabinet Medical de Diabet, Nutritie si Boli Metabolice-Dr. Zaharie Daniela Gabriela",1
5988,Federico II,Hosp. Dos Demaig,1
5989,Federico II,Izaak Walton Killam Health Centre,1
5990,Federico II,"Kemerovo Medical Academy, Regional Clinical Hospital",1
5991,Federico II,"CUIMED, s.r.o.",1
5992,Federico II,A.O.R.N. 'Antonio Cardarelli',1
5993,Federico II,"Azienda Unità Sanitaria Locale - Presidio Ospedaliero 'Spirito Santo', Pescara",1
5994,Federico II,Centre Jean Godinot,1
5995,Federico II,Arkansas Gastroenterology /ID# 113898,1
5996,Federico II,Policlinico San Donato /ID# 141383,1
5997,Federico II,George Washington University,1
5998,Federico II,Endo Clinic,1
5999,Federico II,Dcr-Pi Pc,1
6000,Federico II,"Alian, s.r.o.",1
6001,Federico II,Khmelnytskyi Regional Hospital /ID# 207753,1
6002,Federico II,Ruane Clinical Research Group Inc.,1
6003,Federico II,Paediatric rheumatology Unit,1
6004,Federico II,Premier Specialist /ID# 218158,1
6005,Federico II,Ain Shams University Hospital,1
6006,Federico II,UO Ematologia O spedale Milano S. Raffaele,1
6007,Federico II,University Clinical Center Tuzla,1
6008,Federico II,General hospital of Kalamata,1
6009,Federico II,Duplicate_Hopital Trousseau /ID# 98716,1
6010,Federico II,Praxis fur interdisziplinare Onkologie & Hamatologie,1
6011,Federico II,Azienda Ospedaliera Pia Fondazione di Culto e Religione Cardinale G. Panico,1
6012,Federico II,Samodzielny Publiczny Szpital Kliniczny Nr. 1 we Wrocławiu,1
6013,Federico II,Internistisch Hamatologische und Internistische Praxis,1
6014,Federico II,Oklahoma Foundation for Digestive Research,1
6015,Federico II,ETG Chełm,1
6016,Federico II,8400670 - Medical Center of the Rockies,1
6017,Federico II,3800079 - Azienda Ospedaliera di Caserta 'Sant'Anna e San Sebastiano',1
6018,Federico II,Shizuoka City Hospital,1
6019,Federico II,Spitalul Clinic Judetean de Urgenta Sibiu,1
6020,Federico II,6430050 - Kursk City Emergency Care Hospital,1
6021,Federico II,CER Instituto Medico,1
6022,Federico II,P.O. Gaspare Rodolico - U.O.C. di Psichiatria,1
6023,Federico II,Angels Clinical Research Institute /ID# 234090,1
6024,Federico II,Investigational Site Number: 2760001,1
6025,Federico II,ASST-Rhodense,1
6026,Federico II,Ospedale di Lecce,1
6027,Federico II,Cotton-O'Neil Diab & Endo Ctr,1
6028,Federico II,Janssen Research and Development,1
6029,Federico II,Ospedaliera 'Sant' Andrea'-Università la Sapienza Seconda Facoltà di Medicina e Chirurgia,1
6030,Federico II,"Research Associates of South Florida,LLC /ID# 148212",1
6031,Federico II,"Jackson Oncology Associates, PLLC",1
6032,Federico II,"Institut für Diagnostische Radiologie, Neuroradiologie und Nuklearmedizin",1
6033,Federico II,"UMHAT 'SofiaMed', OOD",1
6034,Federico II,Matthias Kant,1
6035,Federico II,VALEOMED Kft,1
6036,Federico II,D’Or Institute for Research and Education,1
6037,Federico II,Lviv Municipal City Clinical Hospital #4 /ID# 207715,1
6038,Federico II,Health Research of Oklahoma,1
6039,Federico II,Kalo Clinical Research,1
6040,Federico II,Praxis Dr. med. Alexander Zich /ID# 245751,1
6041,Federico II,"Noack-Wiemers, Leipzig, DE /ID# 213654",1
6042,Federico II,Prywatny Gabinet Lekarski dr n. med. Jerzy Brzostek,1
6043,Federico II,Eszak-Pesti Centrumkorhaz - Honvedkorhaz,1
6044,Federico II,Shirley Caldwell,1
6045,Federico II,Provincia Autonoma di Trento,1
6046,Federico II,Centro de Especialidades Medicas - Cemedic,1
6047,Federico II,"Hospital Santa Maria Della Misericordia, S.C. di Ematologia con TMO",1
6048,Federico II,Synexus Clin Res Dallas,1
6049,Federico II,"Samodzielny Publiczny Szpital Kliniczny nr 1, Akademickie Centrum Kliniczne AMG",1
6050,Federico II,Azienda Ospedaliero-Universitaria Policlinico Consorziale,1
6051,Federico II,Clinique Saint Michel,1
6052,Federico II,Ophthalmic Consultants of Boston,1
6053,Federico II,AO di Rilievo Nazionale Antonio Cardarelli,1
6054,Federico II,Ospedale di Marsciano - Servizio Oncologico,1
6055,Federico II,Confluence Health /ID# 118661,1
6056,Federico II,Singapore National Eye Research Centre,1
6057,Federico II,NY Medical College - Hudson Valley Hematology Oncology Associates,1
6058,Federico II,8400608 - Holy Spirit Cardiology,1
6059,Federico II,Uzhhorod National University,1
6060,Federico II,Centro de Investigaciones Médicas Tucuman,1
6061,Federico II,The Urology Center of Colorado,1
6062,Federico II,Asklepios Klinik Nord - Ochsenzoll,1
6063,Federico II,"No.197,2nd Ruijin road, Huangpu district_Site Number: 1560003",1
6064,Federico II,"GCP Clinical Research, LLC",1
6065,Federico II,Hawthorn Medical Associates LLC,1
6066,Federico II,Hospital Dr. Feliz Buines Cerda,1
6067,Federico II,Hospital du Sacre- Coeur de Montreal,1
6068,Federico II,Umberto I Policlinico di Roma,1
6069,Federico II,Carolinas Research center /ID# 211288,1
6070,Federico II,"Boice-Willis Clinic, P.A. /ID# 103618",1
6071,Federico II,CSSS de Rimouski Neigette,1
6072,Federico II,Pima Heart,1
6073,Federico II,Centre integre de sante et de services sociaux de la Monteregie-Centre - Hopital Charles-Le Moyne,1
6074,Federico II,Sharp Grossmont Hospital,1
6075,Federico II,8400862 - Cardiovascular Associates Research,1
6076,Federico II,Marietta Memorial Hospital,1
6077,Federico II,Eastbourne District General Hospital,1
6078,Federico II,Katy Gastro Health & Nutrition,1
6079,Federico II,LLC Evimed,1
6080,Federico II,SimcoDerm Medical and Surgical Dermatology Center /ID# 213081,1
6081,Federico II,Hautzentrum Friedrichshain /ID# 213981,1
6082,Federico II,MUDr. Martin Zavrel Vseobecna ambulancia pre deti a dorast,1
6083,Federico II,Ospedale Pediatrico G. Salesi - Centro Regionale di Diabetologia Clinica Pediatrica,1
6084,Federico II,Carolina Urologic Research Center,1
6085,Federico II,Qingdao Municipal Hospital,1
6086,Federico II,OMEGA Research Consultants,1
6087,Federico II,KH St. Josef Braunau,1
6088,Federico II,Quinze-Vingts National Eye Hospital,1
6089,Federico II,"Oncology Hematology West, P.C.",1
6090,Federico II,Poli Cardinal Med Srl,1
6091,Federico II,Presidio Ospedaliero 'Santa Maria delle Grazie',1
6092,Federico II,Ophtalmologist office,1
6093,Federico II,Zentrum für Radiologie,1
6094,Federico II,"Cetir, Centre Mèdic, S.L",1
6095,Federico II,SBHI of the Republic of Kareliya Republican Hospital n.a. V.A. Baranov,1
6096,Federico II,Digestive Disease Specialists,1
6097,Federico II,Woden Dermatology,1
6098,Federico II,Our Lady of Lourdes Medical Center,1
6099,Federico II,Ocean State Clinical Research Partners,1
6100,Federico II,Gunma University,1
6101,Federico II,"IRIS Research and Development, LLC /ID# 208955",1
6102,Federico II,Clinical Research Ctr Reading /ID# 168070,1
6103,Federico II,Zhongshan Hospital of Xiamen University,1
6104,Federico II,Vinnytsya Regional Clinical Hospital,1
6105,Federico II,Iaso Children’s Hospital,1
6106,Federico II,"Dlugosz-Wolf, Luedenscheid, DE /ID# 222000",1
6107,Federico II,Shizuoka General Hospital,1
6108,Federico II,Peking University International Hospital,1
6109,Federico II,UMHAT Dr Georgi Stranski EAD /ID# 231650,1
6110,Federico II,MTZ Clinical Research Powered by Pratia /ID# 221759,1
6111,Federico II,"Florida Pulmonary Research Institute, LLC",1
6112,Federico II,AOU Integrata Verona 'Ospedale Borgo Roma' - Verona (VN),1
6113,Federico II,ID Clinic,1
6114,Federico II,Public Interest Incorporated Foundation Nipoon Life Saiseikai Nippon Life Hospital,1
6115,Federico II,Akademiskt Specialistcentrum centrum för reumatologi,1
6116,Federico II,Clinica Medicalis Timisoara,1
