,Investigator,Number of Studies
1165,maria pagano,3
1166,antonio voza,3
1167,stefano mancini,3
1168,jeffrey a. kittel,3
1169,amaury daste,3
1170,michele emdin,3
1171,akash shukla,3
1172,caroline dartigeas,3
1173,william a. hall,3
1174,marzena kwinto,3
1175,anna cavallini,3
1176,rocio garcia carbonero,3
1177,victor de ledinghen,3
1178,thomas j. summers,3
1179,haifa kathrin al-ali,3
1180,tatjana latinovic radakovic,3
1181,harm tiddens,3
1182,michael duruisseaux,3
1183,michael loschi,3
1184,niklas nielsen,3
1185,dominique valteau-couanet,3
1186,alessia currao,3
1187,wanda knopinska-posluszny,3
1188,ron shaoul,3
1189,massimo imazio,3
1190,brescia fabrizio,3
1191,antonello di paolo,3
1192,mohamad kassar,3
1193,stefano molica,3
1194,karen cruz,3
1195,massimiliano greco,3
1196,manuel lopez meseguer,3
1197,paolo pietro bianchi,3
1198,pouli,3
1199,bruno fattizzo,3
1200,gianpaolo nadali,3
1201,patrizia tosi,3
1202,tamta makharadze,3
1203,kamel laribi,3
1204,justinian r. ngaiza,3
1205,francesca ferretti,3
1206,mei liu,3
1207,franz rischard,3
1208,rocco s calabrò,3
1209,joyson poulose,3
1210,soledad gallego,3
1211,thierry gustot,3
1212,sergio leonardi,3
1213,carlo alberto volta,3
1214,fabio benedetti,3
1215,alfons schnitzler,3
1216,giorgio la nasa,3
1217,bernhard landwehrmeyer,3
1218,terry ponich,3
1219,roberta battistini,3
1220,daniel pink,3
1221,ilaria del giudice,3
1222,sylvia boesch,3
1223,ignacio gil-bazo,3
1224,michel reijnen,3
1225,adi lahat zok,3
1226,pietro andreone,3
1227,marina polacco,3
1228,claudio ronco,3
1229,flavia torlizzi,3
1230,sven francque,3
1231,gina ancora,3
1232,heidi blume,3
1233,jonathan goldstein,3
1234,dragos budinski,3
1235,carl j. minniti,3
1236,maximilian papi,3
1237,niall tebbutt,3
1238,arturo cuomo,3
1239,gunnar folprecht,3
1240,stefanie howaldt,3
1241,timothy r smith,3
1242,karen anderson,3
1243,andrea pietrabissa,3
1244,tyler robin,3
1245,alessandro ventura,3
1246,iftekhar a. khan,3
1247,jason c. ye,3
1248,meihua xu,3
1249,simone lanini,3
1250,alison duncan,3
1251,giovanni brandi,3
1252,yan chen,3
1253,sherif f. yacoub,3
1254,yair herishanu,3
1255,marisa isabel iborra colomino,3
1256,anna guella,3
1257,marco gobbi,3
1258,antonio casado,3
1259,luca gianotti,3
1260,alberto fragasso,3
1261,thierry berghmans,3
1262,matteo tebaldi,3
1263,michael wang,3
1264,edward j. walsh,3
1265,michael l. haas,3
1266,giuseppe esposito,3
1267,kamen danov,3
1268,filomena morisco,3
1269,silvio buscemi,3
1270,guy aumais,3
1271,aaron t. gerds,3
1272,fabienne gonçalves,3
1273,carlo setacci,3
1274,nirmal kaur,3
1275,francesco marchesi,3
1276,amir zaidi,3
1277,tadej battelino,3
1278,annalia molinari,3
1279,cynthia m. vakhariya,3
1280,britta siegmund,3
1281,claudia maria valverde morales,3
1282,umberto leone roberti maggiore,3
1283,he huang,3
1284,maria lucia narducci,3
1285,shinji takeuchi,3
1286,francesca viazzi,3
1287,corrado vassanelli,3
1288,michela casanova,3
1289,mohammed almubarak,3
1290,daniel gras,3
1291,mauro panigada,3
1292,manuel gotti,3
1293,bogdan s. eftimie,3
1294,lie lin,3
1295,nicola disma,3
1296,claudio romani,3
1297,bernd kasper,3
1298,elena elli,3
1299,giovanni barillari,3
1300,sandro sorbi,3
1301,sylvie rottey,3
1302,manuela mastronardi,3
1303,rossella ciurleo,3
1304,anne rosser,3
1305,sameer tolay,3
1306,lorenzo fornaro,3
1307,angel guerrero zotano,3
1308,john p. mastandrea,3
1309,anthony buisson,3
1310,oliver hoffmann,3
1311,marilina piccirillo,3
1312,angela melpignano,3
1313,charlotte niemeyer,3
1314,tibor hlavaty,3
1315,susan perlman,3
1316,delong liu,3
1317,shin-cheh chen,3
1318,isaac levy,3
1319,miroslav fedurco,3
1320,federico prefumo,3
1321,felice borghi,3
1322,moreau,3
1323,marek karczewski,3
1324,jacek kieltucki,3
1325,roberto biagini,3
1326,rodolfo mattioli,3
1327,neil d. belman,3
1328,vipul jairath,3
1329,dominik chraniuk,3
1330,steven m. fruchtman,3
1331,jean-hugues dalle,3
1332,ramaswamy govindan,3
1333,diego raimondo,3
1334,virgilio carnielli,3
1335,els van de vijver,3
1336,valeria calvi,3
1337,ahmed a. khalid,3
1338,lorenzo gianni,3
1339,andrea fontana,3
1340,elisa bannone,3
1341,mireille simon,3
1342,olivia pagani,3
1343,sonali chaudhury,3
1344,qiwei w. gai,3
1345,aravindhan veerapandiyan,3
1346,simona sacco,3
1347,stefano cordio,3
1348,bruno sensi,3
1349,xiaoyan ke,3
1350,pavel svoboda,3
1351,stephan windecker,3
1352,gianfranco parati,3
1353,marco ruggeri,3
1354,luigi boni,3
1355,cesare stagni,3
1356,francesco luzza,3
1357,dominique plantaz,3
1358,natalie bloom lyons,3
1359,alfonso ielasi,3
1360,bevan ly,3
1361,thomas mayer,3
1362,jozef lacka,3
1363,vincenzo liso,3
1364,stephan baldus,3
1365,lihua qiu,3
1366,neil e. faulkner,3
1367,janice lyons,3
1368,hans gelderblom,3
1369,nicola polverelli,3
1370,zsanett heringh,3
1371,giuseppe filardo,3
1372,sarit assouline,3
1373,edoardo calderini,3
1374,giovannino ciccone,3
1375,roberto lemoli,3
1376,stefan schreiber,3
1377,milos gregus,3
1378,giacomo allegrini,3
1379,vinny podichetty,3
1380,silvana leo,3
1381,xueli ding,3
1382,alessandro tuzi,3
1383,pierluigi viale,3
1384,antonio chella,3
1385,allan coates,3
1386,giuseppe ristagno,3
1387,giovanni luca frassineti,3
1388,sophie dimicoli-salazar,3
1389,sumit singh,3
1390,justyna kanold,3
1391,sabine bleiziffer,3
1392,nalan gulsen unal,3
1393,gerald miletello,3
1394,hesham elgouhari,3
1395,ida paris,3
1396,vikas dembla,3
1397,michele orditura,3
1398,jean-jacques kiladjian,3
1399,alessandro sanna,3
1400,alexandra kent,3
1401,christopher m. reynolds,3
1402,sally j. york,3
1403,jason m melear,3
1404,angelo antonini,3
1405,davide pareyson,3
1406,homam alkaied,3
1407,paolo delrio,3
1408,paolo sganzerla,3
1409,takao takeshima,3
1410,silvia martini,3
1411,hiro tatetsu,3
1412,marco maruzzo,3
1413,rajesh pahwa,3
1414,mohamed mabrouk,3
1415,tanja fehm,3
1416,brigitte rack,3
1417,placido bramanti,3
1418,giuseppe pietrantuono,3
1419,hessam aazami,3
1420,gabriele martelli,3
1421,david k. goebel,3
1422,anna falanga,3
1423,miguel arias guillen,3
1424,nicola baldini,3
1425,antonio chistolini,3
1426,luke howard,3
1427,antonis kattamis,3
1428,manuela roncella,3
1429,laurent peyrin biroulet,3
1430,monika augustyn,3
1431,chandrikha chandrasekharan,3
1432,maria giulia zampino,3
1433,federica bertolini,3
1434,nicola tessitore,3
1435,elisabetta caselli,3
1436,allen lim,3
1437,guillermo bortman,3
1438,nicola scopinaro,3
1439,jürgen wolf,3
1440,vito lorusso,3
1441,jeremy lewin,3
1442,jan ulbrych,3
1443,tomasz szczapa,3
1444,eberhard grube,3
1445,martin dreyling,3
1446,joshua burns,3
1447,carlo ori,3
1448,roldano fossati,3
1449,giulio francolini,3
1450,juan carlos gomez esteban,3
1451,curtis baum,3
1452,federico emanuele pozzi,3
1453,luca ansaloni,3
1454,robert knight,3
1455,alberto zangrillo,3
1456,hong zhao,3
1457,enzo veltri,3
1458,hamid r. mirshahidi,3
1459,chengdang wang,3
1460,thomas luecke,3
1461,offidani,3
1462,enrico orciuolo,3
1463,leonel reyes,3
1464,flora zagouri,3
1465,chris twelves,3
1466,mariangela ciccarese,3
1467,wenjia liu,3
1468,elisabetta fenocchio,3
1469,riccardo moia,3
1470,elisa sala,3
1471,marleen renard,3
1472,david r. gandara,3
1473,brian l. burnette,3
1474,francesco bedogni,3
1475,david f. lee,3
1476,gianluigi reda,3
1477,zsolt nagy,3
1478,harald peeters,3
1479,wojciech piotrowski,3
1480,janet sowden,3
1481,giuseppe lapadula,3
1482,neal e. dunlap,3
1483,jimmy ruiz,3
1484,steven j. jubelirer,3
1485,koichi goto,3
1486,michela pierini,3
1487,gregory rosenfeld,3
1488,j christopher christopher sartore,3
1489,paul anthony kniery,3
1490,michele pagani,3
1491,christine kosch,3
1492,valentina neacsu,3
1493,sandro giannini,3
1494,mustapha a. khalife,3
1495,maria gabriella ceravolo,3
1496,sara cingarlini,3
1497,germana tognon,3
1498,tiziana meschi,3
1499,lorenzo dagna,3
1500,corey j. langer,3
1501,victor moreno,3
1502,andrea di cataldo,3
1503,jeffrey crawford,3
1504,awais humayun,3
1505,brit mollenhauer,3
1506,gabriele riccardi,3
1507,david erlinge,3
1508,renato u bassan,3
1509,romain eschalier,3
1510,ki-seong eom,3
1511,vincent ribrag,3
1512,harpreet wasan,3
1513,gianandrea baldazzi,3
1514,anuj bhargava,3
1515,marco marino,3
1516,anthony mccarthy,3
1517,carlo tascini,3
1518,carla manzitti,3
1519,daniel j. krauss,3
1520,monica balzarotti,3
1521,maddalena trombetta,3
1522,jeffrey a. stevens,3
1523,vega rusconi,3
1524,andrea rocca,3
1525,mark alan turner,3
1526,michele vignali,3
1527,marco covotta,3
1528,carlo de asmundis,3
1529,giovanni volpicelli,3
1530,thomas kim,3
1531,yochai adir,3
1532,laura vagnoli,3
1533,haifaa abdulhaq,3
1534,hendrik ruge,3
1535,tae-oh kim,3
1536,sabrina yum,3
1537,johannes oldenburg,3
1538,eduardo ezequiel martinez,3
1539,edoardo ceraolo,3
1540,tarcisio araujo,3
1541,marlena pascu,3
1542,eleanor m. walker,3
1543,gabriele finco,3
1544,angela tamburini,3
1545,federico arguelles arias,3
1546,shilpan shah,3
1547,emanuela zannin,3
1548,peter uebel,3
1549,thomas riva,3
1550,alessandro ottaiano,3
1551,angelo avogaro,3
1552,stuart isaacson,3
1553,andris skride,3
1554,stefano d'ardia,3
1555,marion delcroix,3
1556,syed lateef,3
1557,minna tanner,3
1558,sigal fishman,3
1559,patrizia vergani,3
1560,giovanni ferrari,3
1561,martin smakal,3
1562,maurilio marcacci,3
1563,arrigo fg cicero,3
1564,beata mroziak,3
1565,jiri mayer,3
1566,shigeya tanaka,3
1567,babu vadamalayan,3
1568,narendra singh,3
1569,stefano stagi,3
1570,todd simmons,3
1571,claudio maffeis,3
1572,tomasz arlukowicz,3
1573,pierre fenaux,3
1574,johann visser,3
1575,giovanni ucci,3
1576,katy h. goldsborough,3
1577,haiying cheng,3
1578,giuseppe simone,3
1579,frans opdam,3
1580,nirav shah,3
1581,vesna bjelic-radisic,3
1582,carla giordano,3
1583,sergio harari,3
1584,sung-bae kim,3
1585,adela canete,3
1586,gabriella d'ettorre,3
1587,sigrun hallmeyer,3
1588,david j maron,3
1589,giulio pompilio,3
1590,scott robert dobson,3
1591,gregory b. biedermann,3
1592,selim corbacioglu,3
1593,antonio palumbo,3
1594,mario roselli,3
1595,carsten saft,3
1596,steven m. duffy,3
1597,paolo d'angelo,3
1598,arnaud colard,3
1599,hongming pan,3
1600,pier l zinzani,3
1601,johannes levin,3
1602,tommaso rossi,3
1603,fin breatnach,3
1604,roberto panceri,3
1605,marco salvetti,3
1606,chiun-sheng huang,3
1607,domenico bassi,3
1608,giovanni perricone,3
1609,antonio santo,3
1610,dennis p. morgan,3
1611,andreas hottinger,3
1612,mark jones,3
1613,karel pavelka,3
1614,fatima de la cruz vicente,3
1615,sudhir manda,3
1616,matteo pozzi,3
1617,david earl schultz,3
1618,alan glenn wynne,3
1619,kate wheeler,3
1620,paolo calabrò,3
1621,pedro m. sanz-altamira,3
1622,yeun-hee a. park,3
1623,vincenzo russotto,3
1624,cytokinetics,3
1625,clorinda schettino,3
1626,nikolaos bonaros,3
1627,antonella d'arminio monforte,3
1628,giuseppe crescenzi,3
1629,caterina caminiti,3
1630,shadia i. jalal,3
1631,giulio l rosboch,3
1632,angus wilfong,3
1633,edoardo lanino,3
1634,khaldoun tarakji,3
1635,giulio rasperini,3
1636,carlo ferrari,3
1637,joelle collignon,3
1638,barbara steinborn,3
1639,agostino cortelezzi,3
1640,mariam alexander,3
1641,lorella orsucci,3
1642,enrico derenzini,3
1643,luigi grimaldi,3
1644,stefano grifoni,3
1645,sylvain choquet,3
1646,maciej zymla,3
1647,paolo angeli,3
1648,battista borghi,3
1649,piotr centkowski,3
1650,giuseppe patti,3
1651,shoma dutt,3
1652,robert d. siegel,3
1653,antonello pinto,3
1654,luca landoni,3
1655,riccardo campi,3
1656,kumaravel perumalsamy,3
1657,miroslava volfova,3
1658,luciano de carlis,3
1659,carlo tondini,3
1660,qian cao,3
1661,naila arebi,3
1662,elizabeth m. gore,3
1663,colin lindsay,3
1664,lorella depaoli,3
1665,peter arkosy,3
1666,paolo sportoletti,3
1667,francesca lunghi,3
1668,meenakshi girish,3
1669,robert petryka,3
1670,marcus j schultz,3
1671,baruch yerushalmi,3
1672,yannick allanore,3
1673,manuel cobo dols,3
1674,patryk korga,3
1675,massimo galli,3
1676,igor diemberger,3
1677,david herrmann,3
1678,francesco prati,3
1679,ernesto ammendola,3
1680,elisa fontana,3
1681,kathrin reetz,3
1682,manuel häckl,3
1683,mattea reinisch,3
1684,vijayalakshmi pratha,3
1685,paolo de fabritiis,3
1686,sophie cousin,3
1687,roberto garbo,3
1688,konstantin h. dragnev,3
1689,dharmendra verma,3
1690,kevin harrington,3
1691,alessandro repici,3
1692,giovanni monteleone,3
1693,marjukka pollari,3
1694,gerald holtmann,3
1695,maxim norkin,3
1696,fulvio morello,3
1697,william e. lawler,3
1698,gloria borra,3
1699,francesco forfori,3
1700,frantisek horvath,3
1701,giuseppe cannella,3
1702,alberto vannelli,3
1703,derk frank,3
1704,vincent cottin,3
1705,valter santilli,3
1706,jin seok kim,3
1707,fatima de la cruz,3
1708,luigi gennari,3
1709,giorgio rossi,3
1710,roberto scarpioni,3
1711,sandra strauss,3
1712,ezio ghigo,3
1713,stephane nancey,3
1714,jennifer l. heaberlin,3
1715,liza c. villaruz,3
1716,vittorio aspromonte,3
1717,matteo monami,3
1718,michela casella,3
1719,tatiana mularek-kubzdela,3
1720,marco metra,3
1721,jozef balaz,3
1722,lisa s. wang,3
1723,elisabeth de greef,3
1724,claudia günther,3
1725,gyula acsadi,3
1726,irit avni-biron,3
1727,diana kerwin,3
1728,alessandra picardi,3
1729,gianni binotto,3
1730,cristina eller-vainicher,3
1731,carlo gambacorti-passerini,3
1732,gudrun schleiermacher,3
1733,claire berger,3
1734,chunxiao chen,3
1735,barbara wozniak-stolarska,3
1736,jorge eduardo rosas cacho,3
1737,clarisse audigier-valette,3
1738,russell saneto,3
1739,milind d. ronghe,3
1740,matteo ziacchi,3
1741,ian flinn,3
1742,paolo gentileschi,3
1743,massimiliano mosca,3
1744,luc regal,3
1745,luca belli,3
1746,michele colledan,3
1747,nicola pavese,3
1748,valentina mancini,3
1749,pietro ameri,3
1750,jean-marc ferrero,3
1751,roberto persiani,3
1752,angelo belotti,3
1753,wester,3
1754,filip couturier,3
1755,federica palermo,3
1756,patrizia alvisi,3
1757,giovanni torsello,3
1758,jason a. zell,3
1759,jennifer slim,3
1760,huong t. pham,3
1761,christian hengstenberg,3
1762,chirag trivedi,3
1763,stefano centanni,3
1764,ferruccio santini,3
1765,fabien zoulim,3
1766,alfredo molteni,3
1767,francesco costa,3
1768,ralph boccia,3
1769,lorenzo nanetti,3
1770,alessandra larocca,3
1771,monika fischer,3
1772,jadwiga holojda,3
1773,sarah molfino,3
1774,tommaso casini,3
1775,gianfranco mitacchione,3
1776,liqun zou,3
1777,luca gemma,3
1778,donata guidetti,3
1779,antonio ardizzoia,3
1780,paola giunti,3
1781,giovanni maconi,3
1782,sergio storti,3
1783,giovanni rovaris,3
1784,mario saporta,3
1785,valentino cherubini,3
1786,piero ruggenenti,3
1787,maurizio longinotti,3
1788,janneke horn,3
1789,thomas bachelot,3
1790,edoardo vincenzo savarino,3
1791,giuseppe colucci,3
1792,klaus seppi,3
1793,firas b. badin,3
1794,katherine mcnaughton moretz,3
1795,michael mross,3
1796,maria grazia bongiorni,3
1797,claudia casanova,3
1798,talia golan,3
1799,francesca ricci,3
1800,gregorio antonio cortes-maisonet,3
1801,lucine vuitton,3
1802,giancarlo agnelli,3
1803,fabrizio bossa,3
1804,jörg b. schulz,3
1805,silvana schreiber,3
1806,dilawar khan,3
1807,vito amoroso,3
1808,eric d. donnelly,3
1809,salman fazal,3
1810,xavier thomas,3
1811,cristina mecucci,3
1812,marta zolnowska,3
1813,alessandro casini,3
1814,timothy ritter,3
1815,evi van dyck,3
1816,cristina tiut,3
1817,antonio uccelli,3
1818,michele malagola,3
1819,kenneth wei,3
1820,habte a yimer,3
1821,rosa daffini,3
1822,joanna pikiel,3
1823,ira oliff,3
1824,wei-pang chung,3
1825,luca castagna,3
1826,veena charu,3
1827,chiara matilde catania,3
1828,gary w. unzeitig,3
1829,andrea maria soccodato,3
1830,alessandra bologna,3
1831,travis rutland,3
1832,roger stupp,3
1833,david hobin,3
1834,nicola normanno,3
1835,iacopo olivotto,3
1836,amelia licari,3
1837,giancarlo logroscino,3
1838,elyse a. lambiase,3
1839,thibaud valentin,3
1840,kensuke usuki,3
1841,manuel ruiz borrego,3
1842,maurizio d'incalci,3
1843,giovanni romano,3
1844,esther natalie oliva,3
1845,dirk schadendorf,3
1846,carlo sposito,3
1847,larry clark,3
1848,andrea m isidori,3
1849,ebenezer a. kio,3
1850,winette van der graaf,3
1851,nicola giordan,3
1852,giacomo loseto,3
1853,clinical trials,3
1854,giuseppe riezzo,3
1855,guglielmo trovato,3
1856,marco catarci,3
1857,alessandra maestro,3
1858,katsuki arima tiscoski,3
1859,marc r. matrana,3
1860,federico guerra,3
1861,luc biedermann,3
1862,mark socinski,3
1863,cesare faldini,3
1864,stefano bembich,3
1865,xinhong wu,3
1866,jan walewski,3
1867,salvatore tafuto,3
1868,blake jones,3
1869,gennaro sardella,3
1870,nicolas deconinck,3
1871,ian bookman,3
1872,pietro cortelli,3
1873,thomas a. hensing,3
1874,antonello sica,3
1875,pamela mckay,3
1876,federica branchi,3
1877,vito annese,3
1878,sabine tejpar,3
1879,patrizia pregno,3
1880,emmanuel bachy,3
1881,pierluigi brazzola,3
1882,giampaolo perri,3
1883,rahul kulkarni,3
1884,paolo foa,3
1885,concetta micalizzi,3
1886,veronica franco,3
1887,guillaume bouguen,3
1888,marco romano,3
1889,urs breitenstein,3
1890,giovanni bisignani,3
1891,marzia caproni,3
1892,tomohiro nishina,3
1893,laurie l. carr,3
1894,matteo piga,3
1895,grzegorz kopec,3
1896,claudio tondo,3
1897,martin hewitt,3
1898,yves reguerre,3
1899,nakhle saba,3
1900,jessica ryan,3
1901,stefano aliberti,3
1902,yanqing li,3
1903,daniela pietrasanta,3
1904,zev davidovics,3
1905,jaswinder singh,3
1906,felix niggli,3
1907,stefania basili,3
1908,milva battaglia,3
1909,editta baldini,3
1910,francesca zanelli,3
1911,pablo mir rivera,3
1912,aquino,3
1913,cristina-victoria mistodie,3
1914,carole coze,3
1915,riccardo c bonadonna,3
1916,jack j. hong,3
1917,giuseppe gritti,3
1918,abdel-ghani azzouqa,3
1919,tbd tbd,3
1920,ursula seidler,3
1921,antonio dello russo,3
1922,michele simone,3
1923,michael galambos,3
1924,maria leonor parody,3
1925,antoine da costa,3
1926,eric van cutsem,3
1927,matthieu allez,3
1928,andrea liverani,3
1929,marco fiore,3
1930,matilde laura,3
1931,michael mian,3
1932,francesco ferraù,3
1933,peter rubin,3
1934,celeste lebbe,3
1935,michele m gulizia,3
1936,yaewon yang,3
1937,kyong hwa park,3
1938,chiara mozzini,3
1939,francesco gelsomino,3
1940,roberto fumagalli,3
1941,claudio romano,3
1942,salvatore piano,3
1943,andrea liaci,3
1944,giuseppe maria milano,3
1945,diana stefanova-petrova,3
1946,giuseppe pugliese,3
1947,mariarosa colnaghi,3
1948,abhinav vasudevan,3
1949,ian chau,3
1950,tamar tadmor,3
1951,meili sun,3
1952,marco pennesi,3
1953,raffaele pulli,3
1954,matteo santamaria,3
1955,antonio pazzola,3
1956,jean-charles goeminne,3
1957,roseline d'oiron,3
1958,samantha a. seaward,3
1959,francesca r mauro,3
1960,antonella castagna,3
1961,kelsey jones,3
1962,alfonso zaccaria,3
1963,gian marco ghiggeri,3
1964,paolo gontero,3
1965,alessandra ferrari,3
1966,alberto garaventa,3
1967,andrea de censi,3
1968,pavel klein,3
1969,marc ferrante,3
1970,luigi celio,3
1971,marta alarcon,3
1972,giacomo ruffo,3
1973,nathan a. pennell,3
1974,claudio u fozza,3
1975,gustavo fonseca,3
1976,catherine le berre,3
1977,adriana balduzzi,3
1978,marcia brose,3
1979,thomas klockgether,3
1980,stephan stilgenbauer,3
1981,mauro mastronardi,3
1982,eileen rakovitch,3
